feature,padj,fold,model
ISM2,0.06838547715635276,2,LR_C=0.001
PADI4,0.06838547715635276,2,LR_C=0.001
KCNG4,0.06838547715635276,2,LR_C=0.001
C2orf27AP3,0.06838547715635276,2,LR_C=0.001
CALCA,0.06838547715635276,2,LR_C=0.001
KRT72,0.06838547715635276,2,LR_C=0.001
AZIN2,0.07176793970490257,2,LR_C=0.001
AL133481.2,0.07255088707778586,2,LR_C=0.001
PCDHA5,0.07661730055176799,2,LR_C=0.001
DEFB4A,0.07661730055176799,2,LR_C=0.001
PIANP,0.07661730055176799,2,LR_C=0.001
PPEF1,0.07661730055176799,2,LR_C=0.001
PABPC1L2B,0.07793196037095275,2,LR_C=0.001
SLC22A16,0.07959646005956297,2,LR_C=0.001
HTR3D,0.09437559863005186,2,LR_C=0.001
EPHB3,0.09568440478933284,2,LR_C=0.001
DRICH1,0.09924165738128037,2,LR_C=0.001
TEX13A,0.09924165738128037,2,LR_C=0.001
RUNDC3A-AS1,0.09924165738128037,2,LR_C=0.001
SMYD1,0.09924165738128037,2,LR_C=0.001
GOLGA2P11,0.09924165738128037,2,LR_C=0.001
CHRNB2,0.09924165738128037,2,LR_C=0.001
OR10G4,0.09924165738128037,2,LR_C=0.001
KCNF1,0.09924165738128037,2,LR_C=0.001
ABHD17AP3,0.09924165738128037,2,LR_C=0.001
RN7SL704P,0.09924165738128037,2,LR_C=0.001
IGKV1OR10-1,0.09924165738128037,2,LR_C=0.001
ADGRF2,0.09924165738128037,2,LR_C=0.001
FAM86GP,0.09924165738128037,2,LR_C=0.001
SLC38A8,0.09924165738128037,2,LR_C=0.001
DUX4L9,0.09924165738128037,2,LR_C=0.001
NSG2,0.09924165738128037,2,LR_C=0.001
C10orf71,0.09924165738128037,2,LR_C=0.001
TMEM151A,0.09924165738128037,2,LR_C=0.001
DCAF4L1,0.09924165738128037,2,LR_C=0.001
AC136759.1,0.09924165738128037,2,LR_C=0.001
GRID1,0.09924165738128037,2,LR_C=0.001
PSORS1C1,0.09924165738128037,2,LR_C=0.001
ZNF320,0.09924165738128037,2,LR_C=0.001
PABPC1P2,0.09924165738128037,2,LR_C=0.001
SPANXD,0.09924165738128037,2,LR_C=0.001
TEDC1,0.09924165738128037,2,LR_C=0.001
LPO,0.09924165738128037,2,LR_C=0.001
HOXD8,0.09924165738128037,2,LR_C=0.001
ISL1,0.09974527239036239,2,LR_C=0.001
TRAM1L1,5.371266111499428e-29,3,LR_C=0.001
SUN3,0.00044122695299768496,3,LR_C=0.001
TSPEAR,0.0005437824878725365,3,LR_C=0.001
AC026523.2,0.0009625486490345154,3,LR_C=0.001
BARHL2,0.0017510393140125566,3,LR_C=0.001
ZIM3,0.0017510393140125566,3,LR_C=0.001
HERC2P11,0.0017510393140125566,3,LR_C=0.001
ZMAT4,0.0017810389693678954,3,LR_C=0.001
CAMK1G,0.0018479021040362714,3,LR_C=0.001
HCRTR2,0.0020262160073633456,3,LR_C=0.001
LRRD1,0.0020744423580102258,3,LR_C=0.001
NACAD,0.002327161443527098,3,LR_C=0.001
GCM2,0.002711388878896045,3,LR_C=0.001
KIF2B,0.003502830364255884,3,LR_C=0.001
ZNF679,0.004135674977585926,3,LR_C=0.001
GLYATL3,0.006260013894816518,3,LR_C=0.001
AL512625.3,0.006449484570710285,3,LR_C=0.001
EFHC2,0.0065295996710383174,3,LR_C=0.001
C6orf222,0.008691811677637768,3,LR_C=0.001
PTPN5,0.009141254965414123,3,LR_C=0.001
PBK,0.009143108897350255,3,LR_C=0.001
TAGLN3,0.009540518167397535,3,LR_C=0.001
OR2M2,0.009540518167397535,3,LR_C=0.001
SLC35E4,0.010406992205599585,3,LR_C=0.001
ROPN1,0.01201601761430567,3,LR_C=0.001
FAM167A,0.01225173264485197,3,LR_C=0.001
MC4R,0.012921427054043318,3,LR_C=0.001
PDHA2,0.013429804035891758,3,LR_C=0.001
REXO1L3P,0.013501404682504842,3,LR_C=0.001
TNNC1,0.013501404682504842,3,LR_C=0.001
IGHV3-48,0.013501404682504842,3,LR_C=0.001
SOX2,0.01376703482347332,3,LR_C=0.001
VAX2,0.01376703482347332,3,LR_C=0.001
DRD5,0.01376703482347332,3,LR_C=0.001
RNU6ATAC5P,0.01376703482347332,3,LR_C=0.001
SNCA,0.01376703482347332,3,LR_C=0.001
RNU6ATAC7P,0.01376703482347332,3,LR_C=0.001
CDH26,0.015104560884074626,3,LR_C=0.001
FZD9,0.015104560884074626,3,LR_C=0.001
C8orf87,0.01593550661478997,3,LR_C=0.001
DPPA3P2,0.017140895209127507,3,LR_C=0.001
SRMS,0.017140895209127507,3,LR_C=0.001
GRHL3,0.019077824848587267,3,LR_C=0.001
CUZD1,0.019077824848587267,3,LR_C=0.001
PRSS40A,0.019077824848587267,3,LR_C=0.001
HTR3A,0.019077824848587267,3,LR_C=0.001
AC239859.6,0.019077824848587267,3,LR_C=0.001
SLC7A3,0.019077824848587267,3,LR_C=0.001
PRSS21,0.019077824848587267,3,LR_C=0.001
CHRM5,0.019077824848587267,3,LR_C=0.001
OR1C1,0.019077824848587267,3,LR_C=0.001
MEIG1,0.019109092355909973,3,LR_C=0.001
DCDC2C,0.019109092355909973,3,LR_C=0.001
TGIF2LX,0.020031886276400783,3,LR_C=0.001
NPTX2,0.020647030568947407,3,LR_C=0.001
C3orf84,0.021449837918224645,3,LR_C=0.001
AC091304.3,0.021969685602773327,3,LR_C=0.001
TAC3,0.02422229340031593,3,LR_C=0.001
RF00405,0.024438019443166852,3,LR_C=0.001
CD177P1,0.025615542227566956,3,LR_C=0.001
AC023310.1,0.025859486720734133,3,LR_C=0.001
KCNIP1,0.025859486720734133,3,LR_C=0.001
OR6C1,0.02663652671752107,3,LR_C=0.001
DRD5P2,0.02663652671752107,3,LR_C=0.001
AC139426.1,0.02663652671752107,3,LR_C=0.001
AC135731.1,0.02785685870841372,3,LR_C=0.001
XKR5,0.028884143532488468,3,LR_C=0.001
OR51K1P,0.028884143532488468,3,LR_C=0.001
FOXI2,0.029252476750664176,3,LR_C=0.001
FGF17,0.029252476750664176,3,LR_C=0.001
FAM47A,0.029625512799266923,3,LR_C=0.001
IGKV6D-21,0.029714084762300634,3,LR_C=0.001
CHRNA3,0.03281269970138485,3,LR_C=0.001
NUDT11,0.0340437383172006,3,LR_C=0.001
MTRNR2L12,0.03532467671667716,3,LR_C=0.001
KRT4,0.03548910081793094,3,LR_C=0.001
