feature,coefficient,model,fold
GLCM_Homoge_LHH_256gl,0.0015438865262808119,LR_C=0.1,1
GLCM_Entrop_HHL_8gl,0.14028369614556457,LR_C=0.1,3
GLRLM_LRE_LHH_256gl,1.3595528797011374,LR_C=1,1
GLRLM_LRE_LHH_32gl,-1.2882211998282145,LR_C=1,1
GLCM_Homoge_LHH_32gl,0.6601503855463701,LR_C=1,1
GLCM_Entrop_LHL_64gl,0.5509006967623977,LR_C=1,1
GLCM_Entrop_LHH_32gl,0.43338785820089826,LR_C=1,1
GLCM_difEnt_HLH_256gl,0.8403617387004756,LR_C=1,2
GLCM_difEnt_LHH_128gl,0.6978395751064301,LR_C=1,2
FOS_Entr_HLH_64gl,0.6741825583378537,LR_C=1,2
GLCM_difEnt_HLH_64gl,-0.5137262706906666,LR_C=1,2
GLCM_Entrop_LHH_32gl,-0.46257518988111324,LR_C=1,2
FD_var_HLH_16gl,0.43642743685529084,LR_C=1,2
GLCM_sumEnt_HLH_64gl,0.413980237073429,LR_C=1,2
FD_lacunarity_HLH_128gl,0.3613176918573791,LR_C=1,2
GLRLM_SRLGLE_HHH_8gl,-0.2881513502756627,LR_C=1,2
GLCM_sumEnt_HLH_256gl,0.05298377793746623,LR_C=1,2
FD_lacunarity_HLH_64gl,0.04101598904228312,LR_C=1,2
GLRLM_SRLGLE_HHH_4gl,0.01772223361637248,LR_C=1,2
FD_lacunarity_HLH_16gl,-0.012361710454630956,LR_C=1,2
GLCM_Entrop_HHL_8gl,1.4525051320235405,LR_C=1,3
GLSZM_ZonePcent_HHL_64gl,-0.5996538518623105,LR_C=1,3
GLSZM_SzoneHiGl_HHL_128gl,0.4050937187678006,LR_C=1,3
GLCM_Dissim_HLH_256gl,0.35356528755883515,LR_C=1,3
GLRLM_SRLGLE_HLH_16gl,0.23816094887269787,LR_C=1,3
GLCM_sumEnt_HHL_128gl,0.21891661408328472,LR_C=1,3
GLSZM_SmallZone_HHL_128gl,0.18234404380942282,LR_C=1,3
