feature,coefficient,model,fold
FD_mean_16gl,0.8224198679369419,LR_C=1,1
GLCM_Entrop_HHL_128gl,0.659940989257257,LR_C=1,1
GLRLM_LRLGLE_LHL_32gl,-0.6485700350644378,LR_C=1,1
FD_max_HHL_8gl,-0.6216164147959368,LR_C=1,1
GLRLM_SRHGLE_LHL_16gl,0.5842165450318267,LR_C=1,1
FD_min_HLH_16gl,-0.4884800867446428,LR_C=1,1
FD_mean_LLL_16gl,0.4846912063423373,LR_C=1,1
GLCM_Correl_HLH_8gl,0.4275985325342795,LR_C=1,1
GLCM_sumAvg_HLH_8gl,-0.34944566845126923,LR_C=1,1
GLCM_invVar_LLL_16gl,0.2198112800425098,LR_C=1,1
FOS_Imean_LLL,0.21783076616900132,LR_C=1,1
GLSZM_SzoneHiGl_LHL_256gl,0.15617903008255668,LR_C=1,1
GLRLM_SRHGLE_HHH_4gl,-0.11787538656291763,LR_C=1,1
GLCM_invVar_16gl,0.1144465032585289,LR_C=1,1
GLCM_Correl_HHH_256gl,0.0659613991520299,LR_C=1,1
GLCM_Correl_HHH_64gl,8.046997368995598e-05,LR_C=1,1
GLCM_sumAvg_LHL_8gl,1.0154293794995986,LR_C=1,2
FD_max_HHH_8gl,-0.8862087533168247,LR_C=1,2
GLCM_ClShad_LHH_4gl,0.8669212920261435,LR_C=1,2
FD_min_HLH_16gl,-0.8005155583115473,LR_C=1,2
GLRLM_SRHGLE_HHH_4gl,-0.71012962098446,LR_C=1,2
FOS_Imean_LLL,0.5538861973419758,LR_C=1,2
GLCM_Entrop_LHH_128gl,0.5299681675597951,LR_C=1,2
GLCM_AutoCorrel_HLH_8gl,-0.26754806285413674,LR_C=1,2
GLCM_Correl_HLL_8gl,0.19099630584057384,LR_C=1,2
GLRLM_LRLGLE_HHL_32gl,-0.18153340213192196,LR_C=1,2
GLSZM_ZoneHiGl_4gl,0.1396570752629975,LR_C=1,2
GLRLM_SRHGLE_HLH_32gl,-0.13232986154174944,LR_C=1,2
GLCM_sumEnt_LHH_256gl,0.11450289623041908,LR_C=1,2
FD_max_HHL_8gl,-0.07381891227499705,LR_C=1,2
GLCM_InfCo1_LLH_8gl,0.061654472341331194,LR_C=1,2
GLRLM_SRHGLE_HHH_4gl,-1.138961389267642,LR_C=1,3
FD_mean_LLL_16gl,1.1043277311231032,LR_C=1,3
GLCM_sumAvg_LHL_8gl,0.7506517339011689,LR_C=1,3
GLCM_Correl_HLH_128gl,0.629315776921241,LR_C=1,3
FD_mean_HLL_32gl,-0.5610159762193678,LR_C=1,3
GLRLM_LRLGLE_HHL_32gl,-0.5006298262107421,LR_C=1,3
GLSZM_ZoneHiGl_4gl,0.4312058625610559,LR_C=1,3
GLCM_Correl_HLH_256gl,0.4263746246902759,LR_C=1,3
GLCM_Correl_HHH_32gl,0.3707863254112397,LR_C=1,3
GLCM_Correl_HLL_8gl,0.2345095036877495,LR_C=1,3
FD_mean_HLH_32gl,-0.20127034160209806,LR_C=1,3
FD_max_HHH_8gl,-0.17530306629429793,LR_C=1,3
FD_min_HLH_16gl,-0.1277943172411384,LR_C=1,3
GLCM_InfCo1_LLH_8gl,0.0033443267003535875,LR_C=1,3
