feature,pvalue,fold,model
SMIM30,0.00010286932660270421,1,LR_C=0.001
INSIG2,0.0001292525720353634,1,LR_C=0.001
LACC1,0.0006541367243495217,1,LR_C=0.001
LIPC-AS1,0.0007968236195139382,1,LR_C=0.001
RPL12P35,0.0008354363742739175,1,LR_C=0.001
NUDT6,0.0010149916319525353,1,LR_C=0.001
PABPC1P4,0.0010491740661967234,1,LR_C=0.001
AL445305.1,0.00113542617923161,1,LR_C=0.001
RPL17P43,0.0012649145443519537,1,LR_C=0.001
APOBEC3C,0.0015910084049127042,1,LR_C=0.001
SDHAF4,0.0018084846615200898,1,LR_C=0.001
MIR181A2,0.0020338905317911792,1,LR_C=0.001
BX248409.1,0.0023807237574048636,1,LR_C=0.001
ARMC10P1,0.003521493724008932,1,LR_C=0.001
SNAPC1,0.0035839687774609427,1,LR_C=0.001
RTL8A,0.0036186528544431182,1,LR_C=0.001
AL590135.1,0.0037535535659967987,1,LR_C=0.001
TMEM14EP,0.0039457191976609044,1,LR_C=0.001
BBS1,0.004341319678965292,1,LR_C=0.001
MILR1,0.004478510684175455,1,LR_C=0.001
AC074276.1,0.004768925197314613,1,LR_C=0.001
RNF2,0.004797891423229959,1,LR_C=0.001
AC008560.1,0.00513833659701623,1,LR_C=0.001
AL139383.1,0.005185256464551958,1,LR_C=0.001
AC022034.3,0.005254584729106388,1,LR_C=0.001
SKA2P1,0.00543230453829942,1,LR_C=0.001
ARL5A,0.005552283360035498,1,LR_C=0.001
YBX3P1,0.005606013825193426,1,LR_C=0.001
ELOCP2,0.0056779822757251665,1,LR_C=0.001
AL162311.2,0.005850433157626164,1,LR_C=0.001
MRPL11,0.005874687898528172,1,LR_C=0.001
AC022905.1,0.006063720304561488,1,LR_C=0.001
HRAS,0.006370751382717891,1,LR_C=0.001
OPN3,0.006410069223270895,1,LR_C=0.001
KRT18P39,0.00645551098263274,1,LR_C=0.001
PHLDA3,0.006706626409753825,1,LR_C=0.001
RPSAP3,0.0067330078651886135,1,LR_C=0.001
PAICSP3,0.006861754686947961,1,LR_C=0.001
TMEM256,0.006926504144053384,1,LR_C=0.001
AC017083.3,0.0070152333097553855,1,LR_C=0.001
UGT1A3,0.007087458322247471,1,LR_C=0.001
HOMER3,0.0072396912471951996,1,LR_C=0.001
AL109840.1,0.007251084172864246,1,LR_C=0.001
EEF1A1P24,0.0073093433205124745,1,LR_C=0.001
AC022210.1,0.007397876830163463,1,LR_C=0.001
AC008429.2,0.007499497786966371,1,LR_C=0.001
AL512844.1,0.007513402306031762,1,LR_C=0.001
RBMS1P1,0.00766615615067527,1,LR_C=0.001
GTSF1,0.007707899998025114,1,LR_C=0.001
UBE2D3P1,0.007919783179455428,1,LR_C=0.001
UBE2V1P9,0.008221462244412983,1,LR_C=0.001
AC129507.1,0.008523535304055259,1,LR_C=0.001
RPS10P27,0.008531868305562698,1,LR_C=0.001
CLEC4D,0.008544735293615253,1,LR_C=0.001
AL513523.1,0.008607298871988307,1,LR_C=0.001
AC009088.4,0.00882612355197248,1,LR_C=0.001
ZNF90P1,0.008937860003170343,1,LR_C=0.001
AC010168.2,0.009071426444159827,1,LR_C=0.001
GPR171,0.009073638760414024,1,LR_C=0.001
AC004899.1,0.009137077713993429,1,LR_C=0.001
RPL10P14,0.009138889657813514,1,LR_C=0.001
LILRB1-AS1,0.009146897509948161,1,LR_C=0.001
AKR1C7P,0.009178592851247381,1,LR_C=0.001
PRRT2,0.009201467057062276,1,LR_C=0.001
PIGF,0.009309526180685892,1,LR_C=0.001
NPM1P40,0.009496736293310099,1,LR_C=0.001
IGHV3-65,0.009736091251037712,1,LR_C=0.001
MPZL1,0.009924129611929653,1,LR_C=0.001
AF131215.4,0.009989476828377208,1,LR_C=0.001
CYP3A51P,0.010034711325914328,1,LR_C=0.001
KRT18P26,0.010117082147218804,1,LR_C=0.001
AL139327.1,0.010268504184793406,1,LR_C=0.001
PHBP20,0.01034683310901623,1,LR_C=0.001
RPL7P37,0.010401887993774884,1,LR_C=0.001
AL512504.1,0.010403202186464235,1,LR_C=0.001
SS18L1,0.010516256141568236,1,LR_C=0.001
