feature,pvalue,fold,model
AL590135.1,3.1971022153065816e-05,2,RF_max_depth=2_min_samples_leaf=5
INSIG2,5.017402528981735e-05,2,RF_max_depth=2_min_samples_leaf=5
C11orf74,0.00014722116441378947,2,RF_max_depth=2_min_samples_leaf=5
AF131215.4,0.00015481152441078477,2,RF_max_depth=2_min_samples_leaf=5
AP002472.1,0.0003416576051358254,2,RF_max_depth=2_min_samples_leaf=5
ZNF679,0.00045301368754351533,2,RF_max_depth=2_min_samples_leaf=5
AL078621.2,0.0005377599355226338,2,RF_max_depth=2_min_samples_leaf=5
ZNF581,0.0005689369293054882,2,RF_max_depth=2_min_samples_leaf=5
CEP72,0.0005751284466062144,2,RF_max_depth=2_min_samples_leaf=5
CRABP2,0.000580248472754793,2,RF_max_depth=2_min_samples_leaf=5
RESP18,0.0005898233991225341,2,RF_max_depth=2_min_samples_leaf=5
CLCA3P,0.0006142636773513126,2,RF_max_depth=2_min_samples_leaf=5
CABS1,0.0006302136297674358,2,RF_max_depth=2_min_samples_leaf=5
ZFP92,0.0006356264695270192,2,RF_max_depth=2_min_samples_leaf=5
ADAM6,0.0007520414501502492,2,RF_max_depth=2_min_samples_leaf=5
PAGE2B,0.0007662953802445802,2,RF_max_depth=2_min_samples_leaf=5
PFDN1,0.0009369502725865846,2,RF_max_depth=2_min_samples_leaf=5
GUCA1C,0.0009516617302874637,2,RF_max_depth=2_min_samples_leaf=5
TUBG1P,0.0010425540222084094,2,RF_max_depth=2_min_samples_leaf=5
CCDC183,0.0010448102041374827,2,RF_max_depth=2_min_samples_leaf=5
S100Z,0.0010611433681799618,2,RF_max_depth=2_min_samples_leaf=5
EIPR1,0.0011017312083813112,2,RF_max_depth=2_min_samples_leaf=5
AL162431.3,0.0012076317623024946,2,RF_max_depth=2_min_samples_leaf=5
C5orf47,0.0012183576250322883,2,RF_max_depth=2_min_samples_leaf=5
TEX13A,0.0012471028068809801,2,RF_max_depth=2_min_samples_leaf=5
VSIG2,0.0013006671598326247,2,RF_max_depth=2_min_samples_leaf=5
ARHGAP42P3,0.0013007965119748246,2,RF_max_depth=2_min_samples_leaf=5
TAS2R8,0.0013318185621141088,2,RF_max_depth=2_min_samples_leaf=5
FAM47A,0.0013412631422049326,2,RF_max_depth=2_min_samples_leaf=5
FP565260.6,0.001405386190820465,2,RF_max_depth=2_min_samples_leaf=5
AC105416.1,0.001434333001266405,2,RF_max_depth=2_min_samples_leaf=5
CRYBB1,0.0014584533786900836,2,RF_max_depth=2_min_samples_leaf=5
IGHV3-38,0.0014695570628980624,2,RF_max_depth=2_min_samples_leaf=5
MIR561,0.0014866568138686396,2,RF_max_depth=2_min_samples_leaf=5
AL445305.1,0.0015432262207149727,2,RF_max_depth=2_min_samples_leaf=5
PAGE2,0.0015799504102190574,2,RF_max_depth=2_min_samples_leaf=5
AL139383.1,0.0015861000103527716,2,RF_max_depth=2_min_samples_leaf=5
DPP9-AS1,0.0016118040346644578,2,RF_max_depth=2_min_samples_leaf=5
CLDN34,0.0016937826028331404,2,RF_max_depth=2_min_samples_leaf=5
KCTD14,0.001700595816779151,2,RF_max_depth=2_min_samples_leaf=5
AC133065.2,0.0017718097181503268,2,RF_max_depth=2_min_samples_leaf=5
KCNIP2,0.001780625382532143,2,RF_max_depth=2_min_samples_leaf=5
TMEM163,0.0017946505000095384,2,RF_max_depth=2_min_samples_leaf=5
YBX3P1,0.0018229931764083033,2,RF_max_depth=2_min_samples_leaf=5
SDHAF1,0.0018538168927775623,2,RF_max_depth=2_min_samples_leaf=5
PCP4,0.0018824534171260204,2,RF_max_depth=2_min_samples_leaf=5
KRTDAP,0.0019085795716151884,2,RF_max_depth=2_min_samples_leaf=5
TRBV19,0.00194226172051221,2,RF_max_depth=2_min_samples_leaf=5
DEFB107B,0.001960932139999764,2,RF_max_depth=2_min_samples_leaf=5
DEFB107A,0.0019643529298767385,2,RF_max_depth=2_min_samples_leaf=5
SHISAL2B,0.0019841804071649887,2,RF_max_depth=2_min_samples_leaf=5
TREM1,0.002025613805964343,2,RF_max_depth=2_min_samples_leaf=5
AC069366.1,0.0020270200805671125,2,RF_max_depth=2_min_samples_leaf=5
TMED1,0.0020810708999099165,2,RF_max_depth=2_min_samples_leaf=5
LACRT,0.0020824765839315496,2,RF_max_depth=2_min_samples_leaf=5
TRAV13-2,0.002094295649181838,2,RF_max_depth=2_min_samples_leaf=5
MBTPS2,0.0021253472638481717,2,RF_max_depth=2_min_samples_leaf=5
AC239859.1,0.0021392483823760734,2,RF_max_depth=2_min_samples_leaf=5
KRTAP4-11,0.0021531222261174936,2,RF_max_depth=2_min_samples_leaf=5
AC112907.2,0.002162868783425552,2,RF_max_depth=2_min_samples_leaf=5
AC239859.6,0.0021810865011340362,2,RF_max_depth=2_min_samples_leaf=5
GSTA10P,0.0021862814559133288,2,RF_max_depth=2_min_samples_leaf=5
AC022905.1,0.002244839668808548,2,RF_max_depth=2_min_samples_leaf=5
LINC00922,0.0022936210931874144,2,RF_max_depth=2_min_samples_leaf=5
BHLHA15,0.002297237440730729,2,RF_max_depth=2_min_samples_leaf=5
RPL6P30,0.0023387037858335663,2,RF_max_depth=2_min_samples_leaf=5
ZBED5,0.002346851471132848,2,RF_max_depth=2_min_samples_leaf=5
IGHV3OR16-7,0.002376627154087633,2,RF_max_depth=2_min_samples_leaf=5
NTHL1,0.002378480573954373,2,RF_max_depth=2_min_samples_leaf=5
CDK5P1,0.0023925705849580092,2,RF_max_depth=2_min_samples_leaf=5
CPSF4L,0.0024220602001503518,2,RF_max_depth=2_min_samples_leaf=5
TRAJ20,0.0024336265332108036,2,RF_max_depth=2_min_samples_leaf=5
NME1,0.002445691480304389,2,RF_max_depth=2_min_samples_leaf=5
SNCA,0.0024640778738315486,2,RF_max_depth=2_min_samples_leaf=5
C1DP1,0.002486033917241066,2,RF_max_depth=2_min_samples_leaf=5
AC009302.1,0.0025303207259265536,2,RF_max_depth=2_min_samples_leaf=5
C15orf54,0.0025420915159343094,2,RF_max_depth=2_min_samples_leaf=5
AC142381.2,0.0025617968490915443,2,RF_max_depth=2_min_samples_leaf=5
CYP4X1,0.0026231736180113772,2,RF_max_depth=2_min_samples_leaf=5
Z97985.1,0.0026504141210701372,2,RF_max_depth=2_min_samples_leaf=5
EREG,0.0009439268425292668,3,RF_max_depth=2_min_samples_leaf=5
EHMT1,0.0022348578604990447,3,RF_max_depth=2_min_samples_leaf=5
EIF5P1,0.003535270505381207,3,RF_max_depth=2_min_samples_leaf=5
VWA3B,0.0037281504995141735,3,RF_max_depth=2_min_samples_leaf=5
HCN4,0.003935631631270042,3,RF_max_depth=2_min_samples_leaf=5
AC138951.1,0.0041873037861912725,3,RF_max_depth=2_min_samples_leaf=5
PTPRE,0.004748169949577173,3,RF_max_depth=2_min_samples_leaf=5
