feature,pvalue,fold,model
PAGE2,0.0015799504102190574,2,LR_C=0.001
AL139383.1,0.0015861000103527716,2,LR_C=0.001
DPP9-AS1,0.0016118040346644578,2,LR_C=0.001
CLDN34,0.0016937826028331404,2,LR_C=0.001
KCTD14,0.001700595816779151,2,LR_C=0.001
AC133065.2,0.0017718097181503268,2,LR_C=0.001
KCNIP2,0.001780625382532143,2,LR_C=0.001
TMEM163,0.0017946505000095384,2,LR_C=0.001
YBX3P1,0.0018229931764083033,2,LR_C=0.001
SDHAF1,0.0018538168927775623,2,LR_C=0.001
PCP4,0.0018824534171260204,2,LR_C=0.001
KRTDAP,0.0019085795716151884,2,LR_C=0.001
TRBV19,0.00194226172051221,2,LR_C=0.001
DEFB107B,0.001960932139999764,2,LR_C=0.001
DEFB107A,0.0019643529298767385,2,LR_C=0.001
SHISAL2B,0.0019841804071649887,2,LR_C=0.001
TREM1,0.002025613805964343,2,LR_C=0.001
AC069366.1,0.0020270200805671125,2,LR_C=0.001
TMED1,0.0020810708999099165,2,LR_C=0.001
LACRT,0.0020824765839315496,2,LR_C=0.001
TRAV13-2,0.002094295649181838,2,LR_C=0.001
MBTPS2,0.0021253472638481717,2,LR_C=0.001
AC239859.1,0.0021392483823760734,2,LR_C=0.001
KRTAP4-11,0.0021531222261174936,2,LR_C=0.001
AC112907.2,0.002162868783425552,2,LR_C=0.001
AC239859.6,0.0021810865011340362,2,LR_C=0.001
GSTA10P,0.0021862814559133288,2,LR_C=0.001
AC022905.1,0.002244839668808548,2,LR_C=0.001
LINC00922,0.0022936210931874144,2,LR_C=0.001
BHLHA15,0.002297237440730729,2,LR_C=0.001
RPL6P30,0.0023387037858335663,2,LR_C=0.001
ZBED5,0.002346851471132848,2,LR_C=0.001
IGHV3OR16-7,0.002376627154087633,2,LR_C=0.001
NTHL1,0.002378480573954373,2,LR_C=0.001
CDK5P1,0.0023925705849580092,2,LR_C=0.001
CPSF4L,0.0024220602001503518,2,LR_C=0.001
TRAJ20,0.0024336265332108036,2,LR_C=0.001
NME1,0.002445691480304389,2,LR_C=0.001
SNCA,0.0024640778738315486,2,LR_C=0.001
C1DP1,0.002486033917241066,2,LR_C=0.001
AC009302.1,0.0025303207259265536,2,LR_C=0.001
C15orf54,0.0025420915159343094,2,LR_C=0.001
AC142381.2,0.0025617968490915443,2,LR_C=0.001
CYP4X1,0.0026231736180113772,2,LR_C=0.001
Z97985.1,0.0026504141210701372,2,LR_C=0.001
EREG,0.0009439268425292668,3,LR_C=0.001
EHMT1,0.0022348578604990447,3,LR_C=0.001
EIF5P1,0.003535270505381207,3,LR_C=0.001
VWA3B,0.0037281504995141735,3,LR_C=0.001
HCN4,0.003935631631270042,3,LR_C=0.001
AC138951.1,0.0041873037861912725,3,LR_C=0.001
PTPRE,0.004748169949577173,3,LR_C=0.001
LTBP4,0.005182531301602356,3,LR_C=0.001
BHMT2,0.005494209376574182,3,LR_C=0.001
MUC5B,0.005729555198843657,3,LR_C=0.001
SATB2,0.006039307605561559,3,LR_C=0.001
CACNA1G,0.00612239690431811,3,LR_C=0.001
RFX2,0.006401931974100315,3,LR_C=0.001
SUSD6,0.00640704201878632,3,LR_C=0.001
SEMA6B,0.006480173469312881,3,LR_C=0.001
LDB2,0.006609112395288353,3,LR_C=0.001
TAF5L,0.0072751368738281095,3,LR_C=0.001
CERCAM,0.007377026614813228,3,LR_C=0.001
GAGE1,0.007440820267304087,3,LR_C=0.001
GOLGA6L3,0.007580564528773812,3,LR_C=0.001
MUC16,0.008914646554893255,3,LR_C=0.001
CYP27C1,0.008953427183647701,3,LR_C=0.001
GLDCP1,0.00929775899486218,3,LR_C=0.001
SDK1,0.009298660730420155,3,LR_C=0.001
LENG8-AS1,0.009409802439507196,3,LR_C=0.001
NBPF12,0.009791643343279257,3,LR_C=0.001
GOLGA8UP,0.009793050409109213,3,LR_C=0.001
KIAA1211L,0.00979765253644292,3,LR_C=0.001
NPHS2,0.009994918998920417,3,LR_C=0.001
MTMR9,0.010007262769583164,3,LR_C=0.001
AC138409.1,0.010152801530035052,3,LR_C=0.001
PAX2,0.010408862762239159,3,LR_C=0.001
PPP2R2B,0.010555720922404662,3,LR_C=0.001
POMT2,0.01081444825679738,3,LR_C=0.001
C18orf15,0.010913405825805468,3,LR_C=0.001
NPAP1,0.010972706337182954,3,LR_C=0.001
PRPF40B,0.011055172839591234,3,LR_C=0.001
NR4A1,0.011193530861423719,3,LR_C=0.001
CSPG4P10,0.01130720253393466,3,LR_C=0.001
FBXO40,0.011441344043875918,3,LR_C=0.001
PCDHB13,0.011460607990295526,3,LR_C=0.001
CRYBG1,0.011714655519291184,3,LR_C=0.001
LST1,0.01190273722334655,3,LR_C=0.001
CHRNA4,0.011930159300392441,3,LR_C=0.001
ANO10,0.012204382734624288,3,LR_C=0.001
TRIM36,0.01221971259498272,3,LR_C=0.001
ROR2,0.012336089591298753,3,LR_C=0.001
TRIM29,0.012356633969268872,3,LR_C=0.001
CDH3,0.012413219121786008,3,LR_C=0.001
RPAP1,0.01247519441071376,3,LR_C=0.001
NPAS1,0.01252610172120465,3,LR_C=0.001
ZMYND10,0.012669755631200754,3,LR_C=0.001
NPHS1,0.012674096792569764,3,LR_C=0.001
GTF2H2,0.012711511625961699,3,LR_C=0.001
