feature,coefficient,model,fold
InverseDifferenceMomentAveraged3D,-1.2322364729858482,LR_C=1,1
AngularSecondMomentMerged3D,0.775966965691623,LR_C=1,1
InverseDifferenceMomentMerged3D,-0.7365743548814954,LR_C=1,1
GLSZM_SzoneHiGl_LHL_256gl,-0.6790134782890606,LR_C=1,1
GLCM_InfCo2_LLL_64gl,0.4722320065831712,LR_C=1,1
GLRLM_LRLGLE_LHL_16gl,-0.4454258824650528,LR_C=1,1
GLCM_InfCo1_LLL_64gl,0.3838804170696553,LR_C=1,1
JointEntropyMerged3D,-0.3295411520491069,LR_C=1,1
LongRunsEmphasisAveraged3D,0.26951214985284055,LR_C=1,1
GLSZM_ZoneLoGl_LLL_32gl,-0.24573465315751528,LR_C=1,1
GLRLM_SRHGLE_LHL_16gl,0.20286793113000295,LR_C=1,1
GLCM_ClShad_LHH_4gl,-0.19825476533385458,LR_C=1,1
FD_max_HHH_8gl,0.1892588474679049,LR_C=1,1
GLSZM_ZoneHiGl_HLL_16gl,-0.1856793237085739,LR_C=1,1
HighDependenceHighGrayLevelEmphasi3D,-0.15052121896015414,LR_C=1,1
InverseDifferenceMerged3D,0.11449944130103235,LR_C=1,1
NormalisedRunLengthNonUniformityMerged3D,0.0668780952690729,LR_C=1,1
NormalisedRunLengthNonUniformityAveraged3D,0.006030722853524645,LR_C=1,1
GLCM_Correl_HHL_128gl,-0.8022963315878513,LR_C=1,2
GLCM_Correl_HLL_8gl,0.7124492506956732,LR_C=1,2
Asphericity3D,-0.5247591297437854,LR_C=1,2
GLCM_AutoCorrel_HHL_32gl,-0.47945486078465444,LR_C=1,2
AUC-CSH_HHL,-0.44807012288826803,LR_C=1,2
Compactness2_3D,-0.4092995409740141,LR_C=1,2
GLRLM_HGLRE_HHL_8gl,0.3719181485128142,LR_C=1,2
GLRLM_SRHGLE_HHL_128gl,0.33420440687243036,LR_C=1,2
GLCM_Correl_HHH_8gl,0.32596950406155356,LR_C=1,2
GLRLM_SRHGLE_HHL_64gl,0.1885004869412249,LR_C=1,2
GLCM_sumAvg_HLH_16gl,0.1840196883789979,LR_C=1,2
FD_mean_HLH_32gl,0.1835132055032487,LR_C=1,2
FD_max_HHH_8gl,0.18276970146984653,LR_C=1,2
GLCM_AutoCorrel_HHL_16gl,0.17678955278679073,LR_C=1,2
FD_mean_HLL_256gl,0.16919041659314774,LR_C=1,2
Sphericity3D,0.15853706604077075,LR_C=1,2
GLRLM_LGLRE_HHL_8gl,-0.14521092779004402,LR_C=1,2
LowGrayLevelRunEmphasisAveraged3D,-0.13627821400201223,LR_C=1,2
GLRLM_LRHGLE_HHL_256gl,0.13490782379346866,LR_C=1,2
GLCM_Entrop_LHL_64gl,-0.0958766641316857,LR_C=1,2
GLSZM_GlVarianc_HLH_8gl,0.060641370903857864,LR_C=1,2
GLCM_AutoCorrel_HLH_16gl,0.060641370903825806,LR_C=1,2
GLCM_AutoCorrel_HHL_256gl,0.05569913210447043,LR_C=1,2
GLCM_Correl_HLL_16gl,-0.05420961337539341,LR_C=1,2
SphericalDisproportion3D,-0.05310898437431794,LR_C=1,2
FD_min_HHH_8gl,-0.049105464553925435,LR_C=1,2
FD_lacunarity_LLH_8gl,0.047527741066764925,LR_C=1,2
GLCM_Angsmo_HHL_256gl,-0.03201599193030778,LR_C=1,2
FOS_Kurt_LHH,-0.7789250467262974,LR_C=1,3
GLSZM_ZoneLoGl_HLH_8gl,0.7024633043046533,LR_C=1,3
FOS_Imean_LHL,-0.7018729313962071,LR_C=1,3
GLSZM_ZoneHiGl_HLH_8gl,-0.43969587728258097,LR_C=1,3
NGTDM_Complex_LHL_64gl,0.4207810488525592,LR_C=1,3
GLRLM_HGLRE_HLH_16gl,0.42075024181684273,LR_C=1,3
FD_var_LHL_64gl,-0.3482296161197044,LR_C=1,3
GLCM_sumAvg_LHL_8gl,-0.29602920349572837,LR_C=1,3
GLCM_AutoCorrel_HLH_128gl,0.2888538589540699,LR_C=1,3
AUC-CSH_HLH,0.2795084458435576,LR_C=1,3
GLSZM_ZoneHiGl_HLH_128gl,0.2497393985837304,LR_C=1,3
GLCM_sumAvg_HLH_128gl,-0.21698803736592479,LR_C=1,3
FD_min_HLH_16gl,0.20941934140389976,LR_C=1,3
GLCM_Correl_HLL_16gl,-0.20835644262653166,LR_C=1,3
GLCM_AutoCorrel_HLH_64gl,0.18411938875062095,LR_C=1,3
GLRLM_SRHGLE_HLH_32gl,0.17093132280038761,LR_C=1,3
FD_mean_HLH_32gl,-0.1291498631372006,LR_C=1,3
GLRLM_SRHGLE_HLH_64gl,-0.1267963395731051,LR_C=1,3
GLSZM_ZoneHiGl_HLH_32gl,-0.09414606304737667,LR_C=1,3
GLSZM_ZoneLoGl_HLH_4gl,-0.07584642664418638,LR_C=1,3
GLCM_Correl_HLH_64gl,-0.03570532589640757,LR_C=1,3
GLSZM_GlVarianc_HLL_32gl,0.01428409098255684,LR_C=1,3
GLCM_Correl_HHL_8gl,-0.006768728550189554,LR_C=1,3
