gene,padj,fold,model
SMYD1,0.00536889924013486,3,LR_C=0.001
PADI3,0.005403135267365348,3,LR_C=0.001
MOS,0.005687326339847545,3,LR_C=0.001
KCNIP1,0.005687326339847545,3,LR_C=0.001
KRTAP10-8,0.005871614377615396,3,LR_C=0.001
RFPL4AP1,0.006104574791591355,3,LR_C=0.001
PPP4R3C,0.006104574791591355,3,LR_C=0.001
GJB3,0.006104574791591355,3,LR_C=0.001
ACTRT3,0.006104574791591355,3,LR_C=0.001
DEFB106A,0.00612084847942525,3,LR_C=0.001
SLC29A4P1,0.006163251206785638,3,LR_C=0.001
OR6P1,0.006694240499421805,3,LR_C=0.001
PF4V1,0.006706414089905437,3,LR_C=0.001
TAS1R2,0.006706414089905437,3,LR_C=0.001
C11orf16,0.006706414089905437,3,LR_C=0.001
LELP1,0.006952600488037477,3,LR_C=0.001
NTNG1,0.007003043354357123,3,LR_C=0.001
AC015911.1,0.007499184652322325,3,LR_C=0.001
CYTOR,0.007499184652322325,3,LR_C=0.001
ELANE,0.007499184652322325,3,LR_C=0.001
DEFB119,0.007499184652322325,3,LR_C=0.001
H2AFB2,0.007627623853773193,3,LR_C=0.001
DEFB107A,0.007627623853773193,3,LR_C=0.001
TGFBR3L,0.007886548048861542,3,LR_C=0.001
RS1,0.007886548048861542,3,LR_C=0.001
DEFB107B,0.007984439482166691,3,LR_C=0.001
SLC6A8,0.008424446513401863,3,LR_C=0.001
AL512310.6,0.008454176954173264,3,LR_C=0.001
DCDC2C,0.008733640460903786,3,LR_C=0.001
EPHB3,0.008942416619876362,3,LR_C=0.001
PGPEP1L,0.008942416619876362,3,LR_C=0.001
KDM4E,0.008942416619876362,3,LR_C=0.001
MYL1,0.008942416619876362,3,LR_C=0.001
DEFB106B,0.008942416619876362,3,LR_C=0.001
ASTL,0.008942416619876362,3,LR_C=0.001
OBP2B,0.008942416619876362,3,LR_C=0.001
LRRC3C,0.008942416619876362,3,LR_C=0.001
DEFB104A,0.008942416619876362,3,LR_C=0.001
RLBP1,0.008942416619876362,3,LR_C=0.001
KRTDAP,0.008942416619876362,3,LR_C=0.001
MYOG,0.008942416619876362,3,LR_C=0.001
GNRHR,0.008942416619876362,3,LR_C=0.001
AC008985.1,0.008942416619876362,3,LR_C=0.001
BPIFB3,0.009020553691482839,3,LR_C=0.001
ACTBL2,0.009020553691482839,3,LR_C=0.001
CNTD1,0.009020553691482839,3,LR_C=0.001
DNASE2B,0.009020553691482839,3,LR_C=0.001
CELA3A,0.009020553691482839,3,LR_C=0.001
FABP6,0.009020553691482839,3,LR_C=0.001
AC112504.1,0.009020553691482839,3,LR_C=0.001
DEFB104B,0.009020553691482839,3,LR_C=0.001
AC136443.1,0.009020553691482839,3,LR_C=0.001
CD177P1,0.009099090835679835,3,LR_C=0.001
RESP18,0.009539978098851293,3,LR_C=0.001
IGHE,0.009539978098851293,3,LR_C=0.001
LHCGR,0.009539978098851293,3,LR_C=0.001
DCAF12L2,0.009539978098851293,3,LR_C=0.001
ZNF488,0.009539978098851293,3,LR_C=0.001
PABPC1P2,0.009637286568264344,3,LR_C=0.001
MT-CO2,0.009637286568264344,3,LR_C=0.001
NYX,0.009637286568264344,3,LR_C=0.001
PRSS55,0.009637286568264344,3,LR_C=0.001
C7orf65,0.009637286568264344,3,LR_C=0.001
AC092068.2,0.009637286568264344,3,LR_C=0.001
CDRT15P1,0.009637286568264344,3,LR_C=0.001
MYBPHL,0.009960960752808147,3,LR_C=0.001
PRAMEF17,0.010049041368567822,3,LR_C=0.001
OR5AC2,0.010201976543035639,3,LR_C=0.001
NT5DC4,0.010418860434589465,3,LR_C=0.001
AQP8,0.010486484640233714,3,LR_C=0.001
FAM90A27P,0.010486484640233714,3,LR_C=0.001
AL691447.2,0.010544554669226328,3,LR_C=0.001
CAMK2N2,0.01067233362851584,3,LR_C=0.001
RAB13,0.01077245117874679,3,LR_C=0.001
AKAP4,0.010888728339933706,3,LR_C=0.001
KLF17,0.011221040415915182,3,LR_C=0.001
OR56A1,0.01143842902037742,3,LR_C=0.001
LINC02203,0.011558593650926272,3,LR_C=0.001
HS6ST2,0.011617951009847517,3,LR_C=0.001
NANOGP2,0.011698964007918733,3,LR_C=0.001
MTCO1P12,0.01183950477458477,3,LR_C=0.001
FOXL2,0.011993337765651006,3,LR_C=0.001
FZD9,0.012426847241995154,3,LR_C=0.001
