gene,padj,fold,model
AL449283.1,0.005478058349654028,1,LR_C=0.001
ANKRD44-IT1,0.1326040836649415,1,LR_C=0.001
LINC00514,0.6217409034736991,1,LR_C=0.001
AL160272.1,0.7531634811232342,1,LR_C=0.001
MT-RNR1,0.7531634811232342,1,LR_C=0.001
SEMA3F,0.9999856994151731,1,LR_C=0.001
ENPP4,0.9999856994151731,1,LR_C=0.001
LAS1L,0.9999856994151731,1,LR_C=0.001
NIPAL3,0.9999856994151731,1,LR_C=0.001
STPG1,0.9999856994151731,1,LR_C=0.001
TSPAN6,0.9999856994151731,1,LR_C=0.001
FUCA2,0.9999856994151731,1,LR_C=0.001
CFH,0.9999856994151731,1,LR_C=0.001
FGR,0.9999856994151731,1,LR_C=0.001
C1orf112,0.9999856994151731,1,LR_C=0.001
SCYL3,0.9999856994151731,1,LR_C=0.001
DPM1,0.9999856994151731,1,LR_C=0.001
TNMD,0.9999856994151731,1,LR_C=0.001
GCLC,0.9999856994151731,1,LR_C=0.001
NFYA,0.9999856994151731,1,LR_C=0.001
UCKL1-AS1,0.21132863233621552,2,LR_C=0.001
SLX1B-SULT1A4,0.30852747005134373,2,LR_C=0.001
SLX1A-SULT1A3,0.30852747005134373,2,LR_C=0.001
CBR3-AS1,0.30852747005134373,2,LR_C=0.001
HYPK,0.30852747005134373,2,LR_C=0.001
AC102953.2,0.30852747005134373,2,LR_C=0.001
AC112504.1,0.3109826917247318,2,LR_C=0.001
AL121906.2,0.3397151482319418,2,LR_C=0.001
LINC01578,0.3397151482319418,2,LR_C=0.001
RN7SL784P,0.3397151482319418,2,LR_C=0.001
AC015813.1,0.3397151482319418,2,LR_C=0.001
AC093323.3,0.3397151482319418,2,LR_C=0.001
PCSK6-AS1,0.3397151482319418,2,LR_C=0.001
INAFM2,0.3397151482319418,2,LR_C=0.001
AP002518.2,0.3397151482319418,2,LR_C=0.001
AL031594.1,0.3397151482319418,2,LR_C=0.001
MT-CO1,0.3397151482319418,2,LR_C=0.001
AC092368.3,0.3397151482319418,2,LR_C=0.001
AL022322.2,0.35451681763684567,2,LR_C=0.001
RNASEH2A,0.3622135501096004,2,LR_C=0.001
AC006538.1,0.11817933763850488,3,LR_C=0.001
AC127070.4,0.2231673749253307,3,LR_C=0.001
AC102953.2,0.2231673749253307,3,LR_C=0.001
LINC00514,0.2231673749253307,3,LR_C=0.001
AC135731.1,0.2231673749253307,3,LR_C=0.001
VSIG2,0.36752758092814536,3,LR_C=0.001
INAFM2,0.5056459491290922,3,LR_C=0.001
AC025580.2,0.5056459491290922,3,LR_C=0.001
AC093826.2,0.5056459491290922,3,LR_C=0.001
C2orf92,0.5056459491290922,3,LR_C=0.001
AP002505.1,0.5056459491290922,3,LR_C=0.001
C17orf113,0.5056459491290922,3,LR_C=0.001
EFHC2,0.5056459491290922,3,LR_C=0.001
ZMYND12,0.5056459491290922,3,LR_C=0.001
AL160272.1,0.5056459491290922,3,LR_C=0.001
OR2A1-AS1,0.5238393586262439,3,LR_C=0.001
AC092368.3,0.5527448326947638,3,LR_C=0.001
LINC02177,0.6481864701612577,3,LR_C=0.001
AL031594.1,0.6940940482272909,3,LR_C=0.001
AC092068.2,0.6940940482272909,3,LR_C=0.001
RPL7P7,0.0008149351088447009,4,LR_C=0.001
CETN1,0.0025649431601805577,4,LR_C=0.001
B3GAT2,0.005129569280052777,4,LR_C=0.001
VWC2L,0.005129569280052777,4,LR_C=0.001
AL138889.1,0.007658872378366916,4,LR_C=0.001
DMRTC1B,0.012094023920358578,4,LR_C=0.001
AL117328.2,0.02787351575848192,4,LR_C=0.001
LINC00514,0.02787351575848192,4,LR_C=0.001
P2RX5-TAX1BP3,0.032228072196474396,4,LR_C=0.001
AC025580.2,0.0331847247017894,4,LR_C=0.001
AL021877.2,0.0331847247017894,4,LR_C=0.001
RASD2,0.0331847247017894,4,LR_C=0.001
CCDC26,0.0331847247017894,4,LR_C=0.001
BARX2,0.04368484321304061,4,LR_C=0.001
USP17L23,0.04772580439594783,4,LR_C=0.001
AC092068.2,0.04829989340905918,4,LR_C=0.001
NPFFR1,0.04829989340905918,4,LR_C=0.001
AL353726.2,0.04829989340905918,4,LR_C=0.001
TNR,0.04892855599511692,4,LR_C=0.001
AC004889.1,0.06489585514647499,4,LR_C=0.001
C2orf92,0.06489585514647499,4,LR_C=0.001
RPL34-AS1,0.07519617682837357,4,LR_C=0.001
SPRY3,0.07519617682837357,4,LR_C=0.001
CLVS1,0.07694182363283524,4,LR_C=0.001
C17orf113,0.07694182363283524,4,LR_C=0.001
AC020907.1,0.07694182363283524,4,LR_C=0.001
MIAT,0.07694182363283524,4,LR_C=0.001
AC026310.2,0.07726825316435244,4,LR_C=0.001
CCDC42,0.07727292050042475,4,LR_C=0.001
AL160272.1,0.07727292050042475,4,LR_C=0.001
OLMALINC,0.07727292050042475,4,LR_C=0.001
AC026523.2,0.079541413428661,4,LR_C=0.001
CCDC105,0.07983162763551079,4,LR_C=0.001
LINC02099,0.08318078955760815,4,LR_C=0.001
NOX5,0.08318078955760815,4,LR_C=0.001
AMHR2,0.08959633839556365,4,LR_C=0.001
AICDA,0.09001330472067072,4,LR_C=0.001
OR2A1-AS1,0.09214625073752954,4,LR_C=0.001
ADGRB1,0.09214625073752954,4,LR_C=0.001
TDRKH-AS1,0.09975148206114984,4,LR_C=0.001
AL449283.1,0.005478058349654028,1,LR_C=0.01
ANKRD44-IT1,0.1326040836649415,1,LR_C=0.01
LINC00514,0.6217409034736991,1,LR_C=0.01
AL160272.1,0.7531634811232342,1,LR_C=0.01
MT-RNR1,0.7531634811232342,1,LR_C=0.01
SEMA3F,0.9999856994151731,1,LR_C=0.01
ENPP4,0.9999856994151731,1,LR_C=0.01
LAS1L,0.9999856994151731,1,LR_C=0.01
NIPAL3,0.9999856994151731,1,LR_C=0.01
STPG1,0.9999856994151731,1,LR_C=0.01
TSPAN6,0.9999856994151731,1,LR_C=0.01
