feature,padj,fold,model
CYP51A1,0.9999744098911479,3,RF_max_depth=2_min_samples_leaf=15
ANKIB1,0.9999744098911479,3,RF_max_depth=2_min_samples_leaf=15
CFTR,0.9999744098911479,3,RF_max_depth=2_min_samples_leaf=15
SEMA3F,0.9999744098911479,3,RF_max_depth=2_min_samples_leaf=15
ENPP4,0.9999744098911479,3,RF_max_depth=2_min_samples_leaf=15
LAS1L,0.9999744098911479,3,RF_max_depth=2_min_samples_leaf=15
NIPAL3,0.9999744098911479,3,RF_max_depth=2_min_samples_leaf=15
STPG1,0.9999744098911479,3,RF_max_depth=2_min_samples_leaf=15
TSPAN6,0.9999744098911479,3,RF_max_depth=2_min_samples_leaf=15
FUCA2,0.9999744098911479,3,RF_max_depth=2_min_samples_leaf=15
CFH,0.9999744098911479,3,RF_max_depth=2_min_samples_leaf=15
FGR,0.9999744098911479,3,RF_max_depth=2_min_samples_leaf=15
C1orf112,0.9999744098911479,3,RF_max_depth=2_min_samples_leaf=15
SCYL3,0.9999744098911479,3,RF_max_depth=2_min_samples_leaf=15
DPM1,0.9999744098911479,3,RF_max_depth=2_min_samples_leaf=15
TNMD,0.9999744098911479,3,RF_max_depth=2_min_samples_leaf=15
GCLC,0.9999744098911479,3,RF_max_depth=2_min_samples_leaf=15
NFYA,0.9999744098911479,3,RF_max_depth=2_min_samples_leaf=15
DEFB106A,7.295420126603929e-16,1,RF_max_depth=4_min_samples_leaf=5
KRTDAP,1.7600407918496227e-05,1,RF_max_depth=4_min_samples_leaf=5
AL138889.1,0.029376247814866537,1,RF_max_depth=4_min_samples_leaf=5
SUN3,0.052474126103953384,1,RF_max_depth=4_min_samples_leaf=5
AC100788.2,0.060183753048711174,1,RF_max_depth=4_min_samples_leaf=5
AC073548.1,0.060183753048711174,1,RF_max_depth=4_min_samples_leaf=5
PJVK,0.06518715825259544,1,RF_max_depth=4_min_samples_leaf=5
CAMK2N2,0.06853992663304975,1,RF_max_depth=4_min_samples_leaf=5
DLX6-AS1,0.15514775516845358,1,RF_max_depth=4_min_samples_leaf=5
AL353796.1,0.1672451779755188,1,RF_max_depth=4_min_samples_leaf=5
AL158835.2,0.19453074296233613,1,RF_max_depth=4_min_samples_leaf=5
CCDC26,0.19453074296233613,1,RF_max_depth=4_min_samples_leaf=5
LIX1L-AS1,0.19453074296233613,1,RF_max_depth=4_min_samples_leaf=5
LINC00514,0.19453074296233613,1,RF_max_depth=4_min_samples_leaf=5
RN7SL525P,0.19453074296233613,1,RF_max_depth=4_min_samples_leaf=5
AC005005.4,0.19453074296233613,1,RF_max_depth=4_min_samples_leaf=5
AC026523.2,0.19453074296233613,1,RF_max_depth=4_min_samples_leaf=5
PCA3,0.19453074296233613,1,RF_max_depth=4_min_samples_leaf=5
ARHGEF26-AS1,0.25946086390570494,1,RF_max_depth=4_min_samples_leaf=5
INAFM2,0.25946086390570494,1,RF_max_depth=4_min_samples_leaf=5
AL449283.1,0.0006220995539017461,2,RF_max_depth=4_min_samples_leaf=5
OR9K1P,0.3189450340015488,2,RF_max_depth=4_min_samples_leaf=5
AC006538.1,0.3189450340015488,2,RF_max_depth=4_min_samples_leaf=5
