feature,padj,fold,model
AC005696.4,0.035397413413561625,1,RF_max_depth=2_min_samples_leaf=5
AC135731.1,0.07086266330074659,1,RF_max_depth=2_min_samples_leaf=5
THUMPD3-AS1,0.07086266330074659,1,RF_max_depth=2_min_samples_leaf=5
CABP2,0.07086266330074659,1,RF_max_depth=2_min_samples_leaf=5
EFHC2,0.07086266330074659,1,RF_max_depth=2_min_samples_leaf=5
SOX2,0.09770845968540966,1,RF_max_depth=2_min_samples_leaf=5
AC005531.1,0.14577357660727105,1,RF_max_depth=2_min_samples_leaf=5
CEACAM20,0.14577357660727105,1,RF_max_depth=2_min_samples_leaf=5
CCT8L1P,0.14577357660727105,1,RF_max_depth=2_min_samples_leaf=5
SNCA,0.14577357660727105,1,RF_max_depth=2_min_samples_leaf=5
CACNG7,0.14577357660727105,1,RF_max_depth=2_min_samples_leaf=5
AC136759.1,0.1701021830284853,1,RF_max_depth=2_min_samples_leaf=5
FAM19A5,0.1701021830284853,1,RF_max_depth=2_min_samples_leaf=5
ISM2,0.1701021830284853,1,RF_max_depth=2_min_samples_leaf=5
LRRC52,0.1727488559423804,1,RF_max_depth=2_min_samples_leaf=5
HTR3D,0.1727488559423804,1,RF_max_depth=2_min_samples_leaf=5
GLYATL3,0.1727488559423804,1,RF_max_depth=2_min_samples_leaf=5
PSORS1C1,0.1727488559423804,1,RF_max_depth=2_min_samples_leaf=5
LPAR3,0.1727488559423804,1,RF_max_depth=2_min_samples_leaf=5
FAM47A,0.1727488559423804,1,RF_max_depth=2_min_samples_leaf=5
BARHL2,0.0009807157353158983,2,RF_max_depth=2_min_samples_leaf=5
PRSS21,0.04478368145622337,2,RF_max_depth=2_min_samples_leaf=5
CPA1,0.04478368145622337,2,RF_max_depth=2_min_samples_leaf=5
CAMK2N2,0.04478368145622337,2,RF_max_depth=2_min_samples_leaf=5
SULT1A3,0.04478368145622337,2,RF_max_depth=2_min_samples_leaf=5
FAM74A1,0.04478368145622337,2,RF_max_depth=2_min_samples_leaf=5
SFTPA2,0.04478368145622337,2,RF_max_depth=2_min_samples_leaf=5
RFX8,0.04478368145622337,2,RF_max_depth=2_min_samples_leaf=5
SBSN,0.04478368145622337,2,RF_max_depth=2_min_samples_leaf=5
OR1D3P,0.06970295549560361,2,RF_max_depth=2_min_samples_leaf=5
RNA5SP145,0.07300169401230676,2,RF_max_depth=2_min_samples_leaf=5
LINC01133,0.07719562971256011,2,RF_max_depth=2_min_samples_leaf=5
AC022150.4,0.07719562971256011,2,RF_max_depth=2_min_samples_leaf=5
FZD9,0.07719562971256011,2,RF_max_depth=2_min_samples_leaf=5
FOXL2,0.07719562971256011,2,RF_max_depth=2_min_samples_leaf=5
PBK,0.07719562971256011,2,RF_max_depth=2_min_samples_leaf=5
SAPCD2,0.08169296919011224,2,RF_max_depth=2_min_samples_leaf=5
SLC18A2,0.08646993721331768,2,RF_max_depth=2_min_samples_leaf=5
GJB3,0.08646993721331768,2,RF_max_depth=2_min_samples_leaf=5
FOXI2,0.08646993721331768,2,RF_max_depth=2_min_samples_leaf=5
ABRACL,7.498799698873941e-28,3,RF_max_depth=2_min_samples_leaf=5
GPR101,3.292390642621638e-08,3,RF_max_depth=2_min_samples_leaf=5
GBX2,0.023354021596580756,3,RF_max_depth=2_min_samples_leaf=5
EPHB3,0.02402001316871212,3,RF_max_depth=2_min_samples_leaf=5
POU4F1,0.05066650360414554,3,RF_max_depth=2_min_samples_leaf=5
LPO,0.05295902662935486,3,RF_max_depth=2_min_samples_leaf=5
FAM182A,0.07082991689378415,3,RF_max_depth=2_min_samples_leaf=5
PRDM13,0.0902382879360133,3,RF_max_depth=2_min_samples_leaf=5
HAPLN1,0.0902382879360133,3,RF_max_depth=2_min_samples_leaf=5
OR4K2,0.09905699169224998,3,RF_max_depth=2_min_samples_leaf=5
OR13C5,0.09905699169224998,3,RF_max_depth=2_min_samples_leaf=5
CFAP47,0.13231032237609835,3,RF_max_depth=2_min_samples_leaf=5
KCNJ10,0.1390736936266416,3,RF_max_depth=2_min_samples_leaf=5
OR13C2,0.14854022797467947,3,RF_max_depth=2_min_samples_leaf=5
SERGEF,0.17321808308383616,3,RF_max_depth=2_min_samples_leaf=5
IAPP,0.17321808308383616,3,RF_max_depth=2_min_samples_leaf=5
CHRNA2,0.17321808308383616,3,RF_max_depth=2_min_samples_leaf=5
OTX1,0.17321808308383616,3,RF_max_depth=2_min_samples_leaf=5
PRMT8,0.17321808308383616,3,RF_max_depth=2_min_samples_leaf=5
KLF8,0.17321808308383616,3,RF_max_depth=2_min_samples_leaf=5
AC005696.4,0.035397413413561625,1,RF_max_depth=2_min_samples_leaf=10
AC135731.1,0.07086266330074659,1,RF_max_depth=2_min_samples_leaf=10
THUMPD3-AS1,0.07086266330074659,1,RF_max_depth=2_min_samples_leaf=10
CABP2,0.07086266330074659,1,RF_max_depth=2_min_samples_leaf=10
EFHC2,0.07086266330074659,1,RF_max_depth=2_min_samples_leaf=10
SOX2,0.09770845968540966,1,RF_max_depth=2_min_samples_leaf=10
AC005531.1,0.14577357660727105,1,RF_max_depth=2_min_samples_leaf=10
CEACAM20,0.14577357660727105,1,RF_max_depth=2_min_samples_leaf=10
CCT8L1P,0.14577357660727105,1,RF_max_depth=2_min_samples_leaf=10
SNCA,0.14577357660727105,1,RF_max_depth=2_min_samples_leaf=10
CACNG7,0.14577357660727105,1,RF_max_depth=2_min_samples_leaf=10
AC136759.1,0.1701021830284853,1,RF_max_depth=2_min_samples_leaf=10
FAM19A5,0.1701021830284853,1,RF_max_depth=2_min_samples_leaf=10
ISM2,0.1701021830284853,1,RF_max_depth=2_min_samples_leaf=10
LRRC52,0.1727488559423804,1,RF_max_depth=2_min_samples_leaf=10
HTR3D,0.1727488559423804,1,RF_max_depth=2_min_samples_leaf=10
GLYATL3,0.1727488559423804,1,RF_max_depth=2_min_samples_leaf=10
PSORS1C1,0.1727488559423804,1,RF_max_depth=2_min_samples_leaf=10
LPAR3,0.1727488559423804,1,RF_max_depth=2_min_samples_leaf=10
FAM47A,0.1727488559423804,1,RF_max_depth=2_min_samples_leaf=10
BARHL2,0.0009807157353158983,2,RF_max_depth=2_min_samples_leaf=10
PRSS21,0.04478368145622337,2,RF_max_depth=2_min_samples_leaf=10
CPA1,0.04478368145622337,2,RF_max_depth=2_min_samples_leaf=10
CAMK2N2,0.04478368145622337,2,RF_max_depth=2_min_samples_leaf=10
SULT1A3,0.04478368145622337,2,RF_max_depth=2_min_samples_leaf=10
FAM74A1,0.04478368145622337,2,RF_max_depth=2_min_samples_leaf=10
SFTPA2,0.04478368145622337,2,RF_max_depth=2_min_samples_leaf=10
RFX8,0.04478368145622337,2,RF_max_depth=2_min_samples_leaf=10
SBSN,0.04478368145622337,2,RF_max_depth=2_min_samples_leaf=10
OR1D3P,0.06970295549560361,2,RF_max_depth=2_min_samples_leaf=10
RNA5SP145,0.07300169401230676,2,RF_max_depth=2_min_samples_leaf=10
LINC01133,0.07719562971256011,2,RF_max_depth=2_min_samples_leaf=10
AC022150.4,0.07719562971256011,2,RF_max_depth=2_min_samples_leaf=10
FZD9,0.07719562971256011,2,RF_max_depth=2_min_samples_leaf=10
FOXL2,0.07719562971256011,2,RF_max_depth=2_min_samples_leaf=10
PBK,0.07719562971256011,2,RF_max_depth=2_min_samples_leaf=10
SAPCD2,0.08169296919011224,2,RF_max_depth=2_min_samples_leaf=10
SLC18A2,0.08646993721331768,2,RF_max_depth=2_min_samples_leaf=10
GJB3,0.08646993721331768,2,RF_max_depth=2_min_samples_leaf=10
FOXI2,0.08646993721331768,2,RF_max_depth=2_min_samples_leaf=10
ABRACL,7.498799698873941e-28,3,RF_max_depth=2_min_samples_leaf=10
GPR101,3.292390642621638e-08,3,RF_max_depth=2_min_samples_leaf=10
GBX2,0.023354021596580756,3,RF_max_depth=2_min_samples_leaf=10
EPHB3,0.02402001316871212,3,RF_max_depth=2_min_samples_leaf=10
POU4F1,0.05066650360414554,3,RF_max_depth=2_min_samples_leaf=10
LPO,0.05295902662935486,3,RF_max_depth=2_min_samples_leaf=10
FAM182A,0.07082991689378415,3,RF_max_depth=2_min_samples_leaf=10
PRDM13,0.0902382879360133,3,RF_max_depth=2_min_samples_leaf=10
HAPLN1,0.0902382879360133,3,RF_max_depth=2_min_samples_leaf=10
OR4K2,0.09905699169224998,3,RF_max_depth=2_min_samples_leaf=10
OR13C5,0.09905699169224998,3,RF_max_depth=2_min_samples_leaf=10
CFAP47,0.13231032237609835,3,RF_max_depth=2_min_samples_leaf=10
KCNJ10,0.1390736936266416,3,RF_max_depth=2_min_samples_leaf=10
OR13C2,0.14854022797467947,3,RF_max_depth=2_min_samples_leaf=10
SERGEF,0.17321808308383616,3,RF_max_depth=2_min_samples_leaf=10
IAPP,0.17321808308383616,3,RF_max_depth=2_min_samples_leaf=10
CHRNA2,0.17321808308383616,3,RF_max_depth=2_min_samples_leaf=10
OTX1,0.17321808308383616,3,RF_max_depth=2_min_samples_leaf=10
PRMT8,0.17321808308383616,3,RF_max_depth=2_min_samples_leaf=10
KLF8,0.17321808308383616,3,RF_max_depth=2_min_samples_leaf=10
