feature,coefficient,fold,model
CABP2,1.1689920045653928,1,LR_C=1
FAM47A,-0.8126893840706467,1,LR_C=1
CEACAM20,-0.7729852557988944,1,LR_C=1
GLYATL3,0.618760725831898,1,LR_C=1
HTR3D,0.5230004015019806,1,LR_C=1
FAM19A5,0.23112636009053736,1,LR_C=1
AC005531.1,0.16407672127249212,1,LR_C=1
LRRC52,-0.030133632501935473,1,LR_C=1
CPA1,1.1859322106492165,2,LR_C=1
FOXL2,0.8929947930378478,2,LR_C=1
FAM74A1,0.7367515720811785,2,LR_C=1
FOXI2,0.7118388461744738,2,LR_C=1
SFTPA2,-0.49359341129115847,2,LR_C=1
SAPCD2,0.48264215515386377,2,LR_C=1
KLF8,0.8836560807022351,3,LR_C=1
LPO,0.8749763385269371,3,LR_C=1
IAPP,0.7790695328061488,3,LR_C=1
ABRACL,0.4968332838812628,3,LR_C=1
SERGEF,-0.12036409978389816,3,LR_C=1
EPHB3,0.06933868122402125,3,LR_C=1
OR13C5,-0.012525501103932907,3,LR_C=1
