epoch,train_loss,val_loss
1,4.933876291910807,3.3513927459716797
2,2.296322965621948,2.13776957988739
3,1.8237006028493246,1.7846176624298096
4,1.6832088311513265,1.674445390701294
5,1.6303617318471273,1.6106761693954468
6,1.5990278561909994,1.575376033782959
7,1.5783068815867105,1.5552560091018677
8,1.5646534125010172,1.5382510423660278
9,1.5554450511932374,1.5260637998580933
10,1.5464377403259277,1.5141017436981201
11,1.539869737625122,1.5060698986053467
12,1.5343084494272867,1.4993152618408203
13,1.5289117813110351,1.490742564201355
14,1.524415953954061,1.4883203506469727
15,1.5212022940317789,1.4873325824737549
16,1.5178666909535725,1.4791796207427979
17,1.5149690151214599,1.4754327535629272
18,1.515142806371053,1.4814653396606445
19,1.5113956133524578,1.4704957008361816
20,1.5079511483510335,1.4661293029785156
21,1.5065860430399576,1.4662448167800903
22,1.5036502997080485,1.465576171875
23,1.5017610708872478,1.4638051986694336
24,1.498919423421224,1.4593709707260132
25,1.4972521305084228,1.4593579769134521
26,1.4962811628977457,1.459810733795166
27,1.4928640365600585,1.456593632698059
28,1.4896433671315512,1.453390121459961
29,1.486074193318685,1.4554980993270874
30,1.483712100982666,1.4522290229797363
31,1.4794761498769124,1.4505189657211304
32,1.4761550744374594,1.460242748260498
33,1.4755958716074626,1.4555096626281738
34,1.4701726913452149,1.4491955041885376
35,1.465657107035319,1.4514539241790771
36,1.4584574063618978,1.4484621286392212
37,1.4522476514180502,1.4585621356964111
38,1.4479907353719075,1.4524352550506592
39,1.4401787598927815,1.4578537940979004
40,1.4380898316701254,1.455662727355957
41,1.4279570738474527,1.4516533613204956
42,1.4249427477518717,1.4561775922775269
43,1.41880259513855,1.4576997756958008
44,1.4101385593414306,1.463401198387146
45,1.409218978881836,1.4539093971252441
46,1.4054285367329915,1.4607237577438354
47,1.3986791610717773,1.4715325832366943
48,1.4056058883666993,1.4607702493667603
49,1.4013933181762694,1.4702684879302979
50,1.4010702133178712,1.4668664932250977
