fold,ensemble,radiomics,rna_seq
1,0.9125,0.825,0.9125000000000001
2,0.925925925925926,0.9012345679012346,0.8395061728395062
3,0.8148148148148149,0.6666666666666667,0.7901234567901235
mean,0.8844135802469136,0.797633744855967,0.8473765432098767
