,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ALDOA,23.630050644651572,-2.9150586739918842,1.1562455764217032,-2.5211414715317457,0.011697481230873455,0.9997906073000113
HCN2,62.03646816498283,-1.743582512231832,0.7148421575482957,-2.4391153960642464,0.014723265835052486,0.9997906073000113
SLC16A3,163.54658435181676,-2.4261889711199953,1.0106751281854913,-2.4005626570388023,0.01636988797800517,0.9997906073000113
CMTM3,98.99367419479829,-2.4824061756177627,1.0799346863155697,-2.2986632497998816,0.021524068907403347,0.9997906073000113
DCAF8,14.54055654266661,-3.251347469553299,1.4216293452374444,-2.287057087310089,0.022192491201141386,0.9997906073000113
COL1A1,9719.665419342093,-1.6497401262083538,0.7216389365722775,-2.286101875329062,0.022248299312932755,0.9997906073000113
MMP11,66.38277052640012,-2.423974283110419,1.1509904908550244,-2.105989842982757,0.035205234639526344,0.9997906073000113
PITX1,71.57128622434513,-2.194092289872541,1.0591538267878817,-2.071552058237481,0.03830723482583605,0.9997906073000113
MIR1-1HG,12.978365610956383,-3.2428914421006927,1.5661700017909246,-2.070587125530707,0.038397396326382886,0.9997906073000113
PPP4C,303.8724208088789,-1.1423146714010053,0.5522782602792996,-2.0683679832396646,0.038605433481000345,0.9997906073000113
AGRN,654.9547277690233,-1.506334685203732,0.730680901131212,-2.061549279407308,0.03925066717989957,0.9997906073000113
EGLN2,10.908988067568034,-3.170007882258235,1.561750029867345,-2.029779299909791,0.04237897799058357,0.9997906073000113
KLK3,29.60612037852596,-3.2023623131433103,1.5875079658769402,-2.017225980579142,0.04367193599203881,0.9997906073000113
UBE2A,83.27447114091582,1.7369888672746976,0.8629056428986066,2.012953422624445,0.044119529602851586,0.9997906073000113
NAP1L1,1061.9141998700102,-1.5774120141256858,0.7851412563572994,-2.0090805334114843,0.04452859374932099,0.9997906073000113
LCN2,58.11524829943824,-2.687829860083539,1.338483121964052,-2.0081163639474915,0.04463092774921895,0.9997906073000113
LCLAT1,147.94276293057666,-1.3886167857057283,0.6923495029113501,-2.005658673641786,0.04489267724948557,0.9997906073000113
GCDH,304.08802878425956,-2.027600320380446,1.0110156183798533,-2.0055084051319243,0.04490872309136459,0.9997906073000113
ACY1,4.22589683125332,-3.207949557570825,1.6120258543328583,-1.9900112327283015,0.04658969814156215,0.9997906073000113
RPS25,1203.5952041191201,-1.7688890694269075,0.8967823880089016,-1.9724841757366771,0.048554361002340056,0.9997906073000113
