feature,padj
CFH,0.9997906073000113
AP2B1,0.9997906073000113
REX1BD,0.9997906073000113
MYCBP2,0.9997906073000113
ABCB4,0.9997906073000113
PON1,0.9997906073000113
ACSM3,0.9997906073000113
MCUB,0.9997906073000113
CALCR,0.9997906073000113
SLC25A13,0.9997906073000113
PDK4,0.9997906073000113
ARF5,0.9997906073000113
SLC7A2,0.9997906073000113
ALS2,0.9997906073000113
M6PR,0.9997906073000113
AOC1,0.9997906073000113
RAD52,0.9997906073000113
CYP51A1,0.9997906073000113
RALA,0.9997906073000113
USH1C,0.9997906073000113
