epoch,train_loss,val_loss
1,4.901400359471639,3.76353657245636
2,2.264092969894409,2.5239105224609375
3,1.810223897298177,2.1104989051818848
4,1.675335137049357,1.9280872344970703
5,1.6223538716634114,1.819974660873413
6,1.5916419665018717,1.7587894201278687
7,1.571455224355062,1.7174289226531982
8,1.5575696309407552,1.6829631328582764
9,1.548633909225464,1.6563074588775635
10,1.5397919336954753,1.635962724685669
11,1.532403866449992,1.6150376796722412
12,1.5266520023345946,1.6026742458343506
13,1.5215936342875163,1.5905938148498535
14,1.5173526763916017,1.5822643041610718
15,1.5141340573628743,1.577505350112915
16,1.5116472244262695,1.5664609670639038
17,1.5089966456095378,1.559694766998291
18,1.5084389686584472,1.563653588294983
19,1.5048420588175455,1.5559813976287842
20,1.5015622933705648,1.549936056137085
21,1.5004342714945476,1.5421861410140991
22,1.4965263684590657,1.5477170944213867
23,1.4946219762166342,1.540468454360962
24,1.4910348574320476,1.5424082279205322
25,1.4888535181681315,1.5482016801834106
26,1.4864868640899658,1.541375994682312
27,1.4825520674387613,1.5416460037231445
28,1.4808671633402506,1.5403469800949097
29,1.474052858352661,1.5424665212631226
30,1.4710807959238688,1.5452808141708374
31,1.4686309178670247,1.5458869934082031
32,1.460273551940918,1.5490299463272095
33,1.4560114860534668,1.5608055591583252
34,1.453785785039266,1.5552219152450562
35,1.4389002164204916,1.5506640672683716
36,1.4303887208302817,1.5533497333526611
37,1.419197718302409,1.5636310577392578
38,1.4157764116923015,1.5574498176574707
39,1.4017396132151285,1.5795166492462158
40,1.3959987799326579,1.5689095258712769
41,1.382500982284546,1.5867432355880737
42,1.374734608332316,1.5769333839416504
43,1.3685404459635417,1.5728843212127686
44,1.3591665585835775,1.5897449254989624
45,1.355792490641276,1.5973033905029297
46,1.3496598720550537,1.5942078828811646
47,1.3476919174194335,1.6050759553909302
48,1.3499348481496176,1.5988893508911133
49,1.3480837027231851,1.5899364948272705
50,1.344970734914144,1.593400239944458
