epoch,train_loss,val_loss
1,1.545212339146346,1.0843149793559108
2,0.7883979551803132,0.5548589385789017
3,0.40565802021876274,0.3028283530268176
4,0.19176840653983496,0.13010079202980832
5,0.04817485910040625,0.0370883086632038
6,-0.06107370388306414,-0.04967789238896863
7,-0.13820207943015383,-0.12481005191802978
8,-0.2056584264825566,-0.15353115755936195
9,-0.25639908590258176,-0.2193639562047761
10,-0.29967451759380864,-0.24824882910169405
11,-0.33416455755219115,-0.2821731160426962
12,-0.3583582374632084,-0.3084182698151161
13,-0.3885226241454551,-0.33582981002741846
14,-0.41112813197888903,-0.34635590397078414
15,-0.4344952529018742,-0.36822737578688
16,-0.4513680357171277,-0.3818538920632724
17,-0.4714451006022833,-0.40433576846944874
18,-0.48780216613123495,-0.4168422559211994
19,-0.5016634020662527,-0.4197053880527102
20,-0.5164569580609897,-0.4342862503281955
21,-0.5209683623456736,-0.4488492673841016
22,-0.531440448330661,-0.45857217640712344
23,-0.5458015865444588,-0.4618690116652127
24,-0.5536582996859895,-0.45909953733970377
25,-0.5609470453405161,-0.47087830551739396
26,-0.5733648925424538,-0.4939838175115914
27,-0.5811807167603307,-0.4967839812410289
28,-0.5861204894640113,-0.49258614408558815
29,-0.5957852749414342,-0.5081280967284894
30,-0.6085807763944207,-0.5126286276455583
31,-0.6081484707727594,-0.5119827673352998
32,-0.6131172984975823,-0.5249879401305626
33,-0.6140832501347713,-0.5247648161033104
34,-0.6297846832033676,-0.524136352127996
