epoch,train_loss,val_loss
1,1.5164076653859948,1.0452189001543768
2,0.7849245656470549,0.5664296569495365
3,0.41148174697169876,0.30385053157806396
4,0.19149670119292908,0.12945875134961357
5,0.039884277569350375,0.032625639849695666
6,-0.0725622402358165,-0.05342087663453201
7,-0.15015502715806625,-0.1418959227101556
8,-0.21729112678592288,-0.16630929379627624
9,-0.26921127926552535,-0.22620655133806425
10,-0.3123693050510506,-0.26750603379874394
11,-0.34482360032663184,-0.2863731355502688
12,-0.3711826394779891,-0.32331188711626774
13,-0.4010547836255368,-0.34620266865039695
14,-0.42246080529854596,-0.35660624791835915
15,-0.44649723007382336,-0.3848097965635102
16,-0.4656462213868553,-0.4062124799037802
17,-0.48395128939558285,-0.41995432911248043
18,-0.5006358762215909,-0.43355834237460433
19,-0.5147581057889121,-0.4387408811470558
20,-0.5305429209029436,-0.4600744843482971
21,-0.5369584560394287,-0.4758827595875181
22,-0.5479347080495867,-0.48327313086082196
23,-0.561482878324623,-0.4921414917912976
24,-0.5703933615288976,-0.4961485813403952
25,-0.5792543972325948,-0.4944926734628349
26,-0.5923776008566404,-0.5161004074688615
27,-0.6005236841566551,-0.5235447262895518
28,-0.605374394840176,-0.5247273815089258
29,-0.6176279285627942,-0.5307275533676148
30,-0.6285099316210974,-0.5499681715307565
31,-0.6287489828700843,-0.5489526078618806
32,-0.6338653725138458,-0.5515042198115382
33,-0.63657381796434,-0.5595489904798311
34,-0.6515971981618445,-0.5621865798687112
35,-0.6504498228041624,-0.5606058326260797
36,-0.6592922725710452,-0.5708508187326892
37,-0.6612215973722954,-0.5763405269589917
38,-0.6611249298543974,-0.5602218245637828
39,-0.667076405521179,-0.579296180708655
40,-0.6664800147673319,-0.5766660406671721
41,-0.6717220824526569,-0.5802362433795272
