gene,padj
CABP2,0.004953978164657469
REXO1L3P,0.005502022433787022
EFHC2,0.018117009506931382
DCDC2C,0.018117009506931382
AC006538.1,0.028233978739854403
REC114,0.04441359359673939
RNY4,0.04441359359673939
RN7SL665P,0.04441359359673939
SPART-AS1,0.058204451131717135
CSF2,0.058204451131717135
INAFM2,0.058204451131717135
CU633904.1,0.0651210464977755
RN7SL499P,0.06950100501599517
AC112504.1,0.08037723722522737
AC025198.1,0.09902553412890835
CBR3-AS1,0.10791175878208961
CLDN34,0.11629212255035036
AC073548.1,0.11629212255035036
DEFB115,0.11855022804480668
GFRA3,0.12221609593539541
