target,model,fold,n_selected_deseq,n_nonzero_coef,n_positive_coef,n_negative_coef
rfs_2year,LR_C=0.001,1,59,0,0,0
rfs_2year,LR_C=0.01,1,59,0,0,0
rfs_2year,LR_C=0.1,1,59,0,0,0
rfs_2year,LR_C=1,1,59,16,5,11
rfs_2year,LR_C=0.001,2,91,0,0,0
rfs_2year,LR_C=0.01,2,91,0,0,0
rfs_2year,LR_C=0.1,2,91,2,2,0
rfs_2year,LR_C=1,2,91,12,10,2
rfs_2year,LR_C=0.001,3,159,0,0,0
rfs_2year,LR_C=0.01,3,159,0,0,0
rfs_2year,LR_C=0.1,3,159,0,0,0
rfs_2year,LR_C=1,3,159,18,12,6
