feature,pvalue,fold,model
DPP9-AS1,0.00028571875181092175,2,RF_max_depth=2_min_samples_leaf=5
AC112907.2,0.0014843608410372614,2,RF_max_depth=2_min_samples_leaf=5
AC073610.3,0.0015354957372589514,2,RF_max_depth=2_min_samples_leaf=5
GAPDHP68,0.002084767639307636,2,RF_max_depth=2_min_samples_leaf=5
MIR561,0.0021138651134218656,2,RF_max_depth=2_min_samples_leaf=5
SNORA19,0.002410779399649527,2,RF_max_depth=2_min_samples_leaf=5
POU3F4,0.0024888974844152873,2,RF_max_depth=2_min_samples_leaf=5
STX16-NPEPL1,0.002520574861946194,2,RF_max_depth=2_min_samples_leaf=5
SPDYA,0.0030440128097751016,2,RF_max_depth=2_min_samples_leaf=5
DEFB115,0.003225609666968984,2,RF_max_depth=2_min_samples_leaf=5
LINC01956,0.0035135989572721207,2,RF_max_depth=2_min_samples_leaf=5
FBXO16,0.003551350165254834,2,RF_max_depth=2_min_samples_leaf=5
AC092296.2,0.003738829015699416,2,RF_max_depth=2_min_samples_leaf=5
HMGN2P21,0.0037558490944186876,2,RF_max_depth=2_min_samples_leaf=5
AC105416.1,0.0037982176239538916,2,RF_max_depth=2_min_samples_leaf=5
AC073089.1,0.0038318242977588234,2,RF_max_depth=2_min_samples_leaf=5
RPL10P13,0.004254262124153218,2,RF_max_depth=2_min_samples_leaf=5
RANGRF,0.004377608298513948,2,RF_max_depth=2_min_samples_leaf=5
AC011468.4,0.004513641420347681,2,RF_max_depth=2_min_samples_leaf=5
AC093155.3,0.004565073892950772,2,RF_max_depth=2_min_samples_leaf=5
TACC1P1,0.0047136894856887185,2,RF_max_depth=2_min_samples_leaf=5
EEF1A1P17,0.004993284606090603,2,RF_max_depth=2_min_samples_leaf=5
KRT18P18,0.005295600907152624,2,RF_max_depth=2_min_samples_leaf=5
RAB9A,0.005375728150412119,2,RF_max_depth=2_min_samples_leaf=5
GAPDHP70,0.005426107859798516,2,RF_max_depth=2_min_samples_leaf=5
AC069366.1,0.005742487163784695,2,RF_max_depth=2_min_samples_leaf=5
AC093827.3,0.005787612674607453,2,RF_max_depth=2_min_samples_leaf=5
PPIAP2,0.006050989995255658,2,RF_max_depth=2_min_samples_leaf=5
KCTD14,0.006059160739740114,2,RF_max_depth=2_min_samples_leaf=5
GGPS1,0.006128307621738726,2,RF_max_depth=2_min_samples_leaf=5
H2AFZP1,0.006418880374516424,2,RF_max_depth=2_min_samples_leaf=5
KLRC3,0.006643057950817272,2,RF_max_depth=2_min_samples_leaf=5
AC091874.1,0.006724539507954197,2,RF_max_depth=2_min_samples_leaf=5
MIR509-2,0.006729869840697393,2,RF_max_depth=2_min_samples_leaf=5
TRBV19,0.006797285909607395,2,RF_max_depth=2_min_samples_leaf=5
AC087283.1,0.006847425795164163,2,RF_max_depth=2_min_samples_leaf=5
INSIG2,0.006970117666217963,2,RF_max_depth=2_min_samples_leaf=5
TRBJ2-2,0.007030342403361453,2,RF_max_depth=2_min_samples_leaf=5
AC011767.1,0.0071338028042586266,2,RF_max_depth=2_min_samples_leaf=5
RPL21P18,0.007140505826907762,2,RF_max_depth=2_min_samples_leaf=5
AC069271.1,0.0073815580908677386,2,RF_max_depth=2_min_samples_leaf=5
AL139011.2,0.007430556322342647,2,RF_max_depth=2_min_samples_leaf=5
IGHD3-10,0.007489888280203534,2,RF_max_depth=2_min_samples_leaf=5
ZNF75A,0.007570245972701911,2,RF_max_depth=2_min_samples_leaf=5
RPL13AP19,0.0076511594966744215,2,RF_max_depth=2_min_samples_leaf=5
SRRM1P3,0.007901640867801426,2,RF_max_depth=2_min_samples_leaf=5
TRAJ20,0.008160827861998959,2,RF_max_depth=2_min_samples_leaf=5
KRT18P26,0.008291899153036155,2,RF_max_depth=2_min_samples_leaf=5
ZNF396,0.008376269116160162,2,RF_max_depth=2_min_samples_leaf=5
AC006059.1,0.008454798570734013,2,RF_max_depth=2_min_samples_leaf=5
SNCA,0.008467388663511955,2,RF_max_depth=2_min_samples_leaf=5
MAGEB5,0.008557347205134418,2,RF_max_depth=2_min_samples_leaf=5
ZSCAN9,0.008615997207323098,2,RF_max_depth=2_min_samples_leaf=5
JMJD4,0.00890709632131683,2,RF_max_depth=2_min_samples_leaf=5
AL365475.1,0.00890852980177244,2,RF_max_depth=2_min_samples_leaf=5
AC006453.2,0.008952503306570641,2,RF_max_depth=2_min_samples_leaf=5
AC012618.2,0.009017066687349015,2,RF_max_depth=2_min_samples_leaf=5
AC025198.1,0.009092374150628404,2,RF_max_depth=2_min_samples_leaf=5
IGLV2-5,0.00909514946871904,2,RF_max_depth=2_min_samples_leaf=5
TRAJ41,0.00912543572867515,2,RF_max_depth=2_min_samples_leaf=5
CCDC3,0.00922306248408519,2,RF_max_depth=2_min_samples_leaf=5
SPEM1,0.009245429163922096,2,RF_max_depth=2_min_samples_leaf=5
IGLV6-57,0.009259293091893269,2,RF_max_depth=2_min_samples_leaf=5
LCE3B,0.009353251959937421,2,RF_max_depth=2_min_samples_leaf=5
CCDC183,0.009459949526977382,2,RF_max_depth=2_min_samples_leaf=5
C11orf74,0.00963965741851771,2,RF_max_depth=2_min_samples_leaf=5
AC239859.6,0.009696079994142742,2,RF_max_depth=2_min_samples_leaf=5
SEPT14P1,0.009743072213377345,2,RF_max_depth=2_min_samples_leaf=5
AC116050.1,0.009751396270499552,2,RF_max_depth=2_min_samples_leaf=5
AC106760.2,0.009927338202138916,2,RF_max_depth=2_min_samples_leaf=5
IGHV3-38,0.010106043038070391,2,RF_max_depth=2_min_samples_leaf=5
STAT4,0.010212312154636596,2,RF_max_depth=2_min_samples_leaf=5
CDH19,0.010473826162701205,2,RF_max_depth=2_min_samples_leaf=5
SSU72P3,0.010607229207989956,2,RF_max_depth=2_min_samples_leaf=5
RAMP3,0.01082029950788287,2,RF_max_depth=2_min_samples_leaf=5
AC096543.2,0.01089450466146735,2,RF_max_depth=2_min_samples_leaf=5
RPL7AP60,0.010907173871454966,2,RF_max_depth=2_min_samples_leaf=5
AC073648.6,0.010927824096647302,2,RF_max_depth=2_min_samples_leaf=5
BCL2L2-PABPN1,0.010960796164585956,2,RF_max_depth=2_min_samples_leaf=5
ZNF679,0.011021074530405104,2,RF_max_depth=2_min_samples_leaf=5
AC010834.3,0.0022806622108913063,3,RF_max_depth=2_min_samples_leaf=5
AC023818.1,0.006722199991429062,3,RF_max_depth=2_min_samples_leaf=5
RN7SL711P,0.007783248990890127,3,RF_max_depth=2_min_samples_leaf=5
C18orf15,0.008513950724870418,3,RF_max_depth=2_min_samples_leaf=5
IGLC5,0.009440238778279963,3,RF_max_depth=2_min_samples_leaf=5
AC127502.1,0.009559941912486918,3,RF_max_depth=2_min_samples_leaf=5
APOL1,0.010220807206149735,3,RF_max_depth=2_min_samples_leaf=5
LENG8-AS1,0.011475527065831633,3,RF_max_depth=2_min_samples_leaf=5
CCDC144A,0.012123518602137475,3,RF_max_depth=2_min_samples_leaf=5
LINC01419,0.012219291584045071,3,RF_max_depth=2_min_samples_leaf=5
EREG,0.012731884938143536,3,RF_max_depth=2_min_samples_leaf=5
