feature,pvalue,fold,model
ZNF37BP,0.0037200247378286694,1,LR_C=0.001
INSIG2,0.003864298191806917,1,LR_C=0.001
BBS1,0.005242792733255075,1,LR_C=0.001
PGBD5,0.005905541209501991,1,LR_C=0.001
LACC1,0.006909761828151943,1,LR_C=0.001
PHBP20,0.007260564506216574,1,LR_C=0.001
PRRT2,0.008064880377924858,1,LR_C=0.001
MIR606,0.008828250609770045,1,LR_C=0.001
C1QBPP2,0.009252191020473222,1,LR_C=0.001
AC010168.2,0.010261867083239217,1,LR_C=0.001
AL138820.1,0.010343212124058027,1,LR_C=0.001
LAT,0.010509515920810663,1,LR_C=0.001
AC105429.2,0.011344764366911488,1,LR_C=0.001
MILR1,0.011412180951111527,1,LR_C=0.001
AL513523.1,0.012415128177661322,1,LR_C=0.001
MIR181A2,0.01254973961473736,1,LR_C=0.001
KRT18P18,0.012793793479314789,1,LR_C=0.001
AC127070.4,0.013432828228530407,1,LR_C=0.001
AC017083.3,0.013925371661495578,1,LR_C=0.001
AC010328.2,0.014749195483050427,1,LR_C=0.001
TCTA,0.01488709355703722,1,LR_C=0.001
IGHV3-22,0.015411347692396162,1,LR_C=0.001
HIST1H2AA,0.015524743844819316,1,LR_C=0.001
AC108471.2,0.015787737569463004,1,LR_C=0.001
OR7E109P,0.015842852330242792,1,LR_C=0.001
AC009779.4,0.015892392340900445,1,LR_C=0.001
BRI3P1,0.016138229063869983,1,LR_C=0.001
PPIAP2,0.016281349896276328,1,LR_C=0.001
PPIAP58,0.017148401375519845,1,LR_C=0.001
RAD51AP1P1,0.017354700632084955,1,LR_C=0.001
TCERG1L,0.017764745282208574,1,LR_C=0.001
SGSM1,0.017932155952215707,1,LR_C=0.001
AC012618.2,0.018244820524033353,1,LR_C=0.001
AL132800.1,0.01843475505824981,1,LR_C=0.001
IGKV1D-16,0.018533956347101217,1,LR_C=0.001
AC124916.1,0.01857051848645135,1,LR_C=0.001
AC074276.1,0.018795256860122872,1,LR_C=0.001
AC093720.1,0.018815349609083407,1,LR_C=0.001
AC009088.4,0.018883487143364144,1,LR_C=0.001
NUS1P4,0.019083635284314206,1,LR_C=0.001
UBXN10,0.019184544583919,1,LR_C=0.001
AL031727.1,0.019186950889320042,1,LR_C=0.001
AL359915.2,0.019491288106944404,1,LR_C=0.001
RPL12P15,0.020002653254951524,1,LR_C=0.001
ANKHD1-EIF4EBP3,0.020130242977745953,1,LR_C=0.001
PPIAP13,0.020289492887688318,1,LR_C=0.001
AC107375.1,0.020336344214337325,1,LR_C=0.001
AC079601.2,0.020391497975511028,1,LR_C=0.001
