feature,pvalue,fold,model
ZNF37BP,0.0037200247378286694,1,RF_max_depth=2_min_samples_leaf=5
INSIG2,0.003864298191806917,1,RF_max_depth=2_min_samples_leaf=5
BBS1,0.005242792733255075,1,RF_max_depth=2_min_samples_leaf=5
PGBD5,0.005905541209501991,1,RF_max_depth=2_min_samples_leaf=5
LACC1,0.006909761828151943,1,RF_max_depth=2_min_samples_leaf=5
PHBP20,0.007260564506216574,1,RF_max_depth=2_min_samples_leaf=5
PRRT2,0.008064880377924858,1,RF_max_depth=2_min_samples_leaf=5
MIR606,0.008828250609770045,1,RF_max_depth=2_min_samples_leaf=5
C1QBPP2,0.009252191020473222,1,RF_max_depth=2_min_samples_leaf=5
AC010168.2,0.010261867083239217,1,RF_max_depth=2_min_samples_leaf=5
AL138820.1,0.010343212124058027,1,RF_max_depth=2_min_samples_leaf=5
LAT,0.010509515920810663,1,RF_max_depth=2_min_samples_leaf=5
AC105429.2,0.011344764366911488,1,RF_max_depth=2_min_samples_leaf=5
MILR1,0.011412180951111527,1,RF_max_depth=2_min_samples_leaf=5
AL513523.1,0.012415128177661322,1,RF_max_depth=2_min_samples_leaf=5
MIR181A2,0.01254973961473736,1,RF_max_depth=2_min_samples_leaf=5
KRT18P18,0.012793793479314789,1,RF_max_depth=2_min_samples_leaf=5
AC127070.4,0.013432828228530407,1,RF_max_depth=2_min_samples_leaf=5
AC017083.3,0.013925371661495578,1,RF_max_depth=2_min_samples_leaf=5
AC010328.2,0.014749195483050427,1,RF_max_depth=2_min_samples_leaf=5
TCTA,0.01488709355703722,1,RF_max_depth=2_min_samples_leaf=5
IGHV3-22,0.015411347692396162,1,RF_max_depth=2_min_samples_leaf=5
HIST1H2AA,0.015524743844819316,1,RF_max_depth=2_min_samples_leaf=5
AC108471.2,0.015787737569463004,1,RF_max_depth=2_min_samples_leaf=5
OR7E109P,0.015842852330242792,1,RF_max_depth=2_min_samples_leaf=5
AC009779.4,0.015892392340900445,1,RF_max_depth=2_min_samples_leaf=5
BRI3P1,0.016138229063869983,1,RF_max_depth=2_min_samples_leaf=5
PPIAP2,0.016281349896276328,1,RF_max_depth=2_min_samples_leaf=5
PPIAP58,0.017148401375519845,1,RF_max_depth=2_min_samples_leaf=5
RAD51AP1P1,0.017354700632084955,1,RF_max_depth=2_min_samples_leaf=5
TCERG1L,0.017764745282208574,1,RF_max_depth=2_min_samples_leaf=5
SGSM1,0.017932155952215707,1,RF_max_depth=2_min_samples_leaf=5
AC012618.2,0.018244820524033353,1,RF_max_depth=2_min_samples_leaf=5
AL132800.1,0.01843475505824981,1,RF_max_depth=2_min_samples_leaf=5
IGKV1D-16,0.018533956347101217,1,RF_max_depth=2_min_samples_leaf=5
AC124916.1,0.01857051848645135,1,RF_max_depth=2_min_samples_leaf=5
AC074276.1,0.018795256860122872,1,RF_max_depth=2_min_samples_leaf=5
AC093720.1,0.018815349609083407,1,RF_max_depth=2_min_samples_leaf=5
AC009088.4,0.018883487143364144,1,RF_max_depth=2_min_samples_leaf=5
NUS1P4,0.019083635284314206,1,RF_max_depth=2_min_samples_leaf=5
UBXN10,0.019184544583919,1,RF_max_depth=2_min_samples_leaf=5
AL031727.1,0.019186950889320042,1,RF_max_depth=2_min_samples_leaf=5
AL359915.2,0.019491288106944404,1,RF_max_depth=2_min_samples_leaf=5
RPL12P15,0.020002653254951524,1,RF_max_depth=2_min_samples_leaf=5
ANKHD1-EIF4EBP3,0.020130242977745953,1,RF_max_depth=2_min_samples_leaf=5
PPIAP13,0.020289492887688318,1,RF_max_depth=2_min_samples_leaf=5
AC107375.1,0.020336344214337325,1,RF_max_depth=2_min_samples_leaf=5
AC079601.2,0.020391497975511028,1,RF_max_depth=2_min_samples_leaf=5
EEF1A1P17,0.020555118761980132,1,RF_max_depth=2_min_samples_leaf=5
AC097382.1,0.020592616365725895,1,RF_max_depth=2_min_samples_leaf=5
TGIF2,0.02075178803747873,1,RF_max_depth=2_min_samples_leaf=5
TAX1BP3,0.020839736465503692,1,RF_max_depth=2_min_samples_leaf=5
RPS2P1,0.020949876363228582,1,RF_max_depth=2_min_samples_leaf=5
SNORA19,0.020984508775539288,1,RF_max_depth=2_min_samples_leaf=5
ITGB3,0.021045991156061795,1,RF_max_depth=2_min_samples_leaf=5
AC090771.1,0.021112378492638112,1,RF_max_depth=2_min_samples_leaf=5
AL512844.1,0.021239992135864673,1,RF_max_depth=2_min_samples_leaf=5
RPS26P2,0.021342368396998677,1,RF_max_depth=2_min_samples_leaf=5
NKAPP1,0.021595108135869165,1,RF_max_depth=2_min_samples_leaf=5
MIR1283-1,0.02167727087260053,1,RF_max_depth=2_min_samples_leaf=5
TMEM91,0.02169891744031753,1,RF_max_depth=2_min_samples_leaf=5
AL139023.1,0.02186136738264613,1,RF_max_depth=2_min_samples_leaf=5
PARD6G,0.022331817656074466,1,RF_max_depth=2_min_samples_leaf=5
HADHAP2,0.02255980639635302,1,RF_max_depth=2_min_samples_leaf=5
CPSF1P1,0.022701750946748322,1,RF_max_depth=2_min_samples_leaf=5
HNRNPA1P65,0.023044200022192218,1,RF_max_depth=2_min_samples_leaf=5
RPS26P43,0.023059416697567617,1,RF_max_depth=2_min_samples_leaf=5
DEFB108E,0.023118556509274055,1,RF_max_depth=2_min_samples_leaf=5
HSPE1P6,0.02332011448193169,1,RF_max_depth=2_min_samples_leaf=5
AC147055.1,0.023325160743688757,1,RF_max_depth=2_min_samples_leaf=5
AL139383.1,0.0238023201868896,1,RF_max_depth=2_min_samples_leaf=5
CIPC,0.023841572971238862,1,RF_max_depth=2_min_samples_leaf=5
AC087283.1,0.024056720897313533,1,RF_max_depth=2_min_samples_leaf=5
PLA2G2D,0.02425586855073935,1,RF_max_depth=2_min_samples_leaf=5
EFCAB14P1,0.024433806953153656,1,RF_max_depth=2_min_samples_leaf=5
DYNLT3,0.024514290962349763,1,RF_max_depth=2_min_samples_leaf=5
AL139327.1,0.0245151409758747,1,RF_max_depth=2_min_samples_leaf=5
RPS18P6,0.024592602179165337,1,RF_max_depth=2_min_samples_leaf=5
IGLV2-28,0.02462452242489111,1,RF_max_depth=2_min_samples_leaf=5
AC146507.2,0.024874928662693526,1,RF_max_depth=2_min_samples_leaf=5
HOXD8,0.004707992516467529,2,RF_max_depth=2_min_samples_leaf=5
AC019205.1,0.00489824683345445,2,RF_max_depth=2_min_samples_leaf=5
PNMA8B,0.007836709863681396,2,RF_max_depth=2_min_samples_leaf=5
AL160286.1,0.007879891062347126,2,RF_max_depth=2_min_samples_leaf=5
NANOGP2,0.00789620048322816,2,RF_max_depth=2_min_samples_leaf=5
TMEM100,0.008063104026954003,2,RF_max_depth=2_min_samples_leaf=5
AL731733.1,0.009373897758481702,2,RF_max_depth=2_min_samples_leaf=5
SBF1P1,0.00959490375771464,2,RF_max_depth=2_min_samples_leaf=5
GJB4,0.009721293243939853,2,RF_max_depth=2_min_samples_leaf=5
CALCB,0.011174393291622325,2,RF_max_depth=2_min_samples_leaf=5
KRT18P60,0.01125257363341729,2,RF_max_depth=2_min_samples_leaf=5
OR8D4,0.011291337868510581,2,RF_max_depth=2_min_samples_leaf=5
BAALC-AS2,0.01176531371781099,2,RF_max_depth=2_min_samples_leaf=5
ICAM2,0.01205987246122018,2,RF_max_depth=2_min_samples_leaf=5
AC040174.1,0.012277990553327981,2,RF_max_depth=2_min_samples_leaf=5
PLCXD3,0.012914393322849604,2,RF_max_depth=2_min_samples_leaf=5
KRT8P7,0.013727033276013254,2,RF_max_depth=2_min_samples_leaf=5
RNA5SP25,0.014076960126692191,2,RF_max_depth=2_min_samples_leaf=5
LINC02241,0.014313419087634133,2,RF_max_depth=2_min_samples_leaf=5
HAPLN1,0.014583969756106317,2,RF_max_depth=2_min_samples_leaf=5
AC015911.7,0.014679858042934335,2,RF_max_depth=2_min_samples_leaf=5
TPTEP1,0.01583181369024756,2,RF_max_depth=2_min_samples_leaf=5
