epoch,train_loss,val_loss
1,1.5495048759536625,1.0817535071537412
2,0.7729218975739545,0.5374051431129718
3,0.3995499986291115,0.29365634753786285
4,0.18922299860809255,0.13173507575331064
5,0.04288416743827855,0.02694108403962234
6,-0.07067397580168763,-0.06263639474737233
7,-0.1475163527897426,-0.13121782993448192
8,-0.2180249494616337,-0.1717402671945506
9,-0.2707976519420583,-0.22866734923987553
10,-0.3120454634023335,-0.2580374092891298
11,-0.349744757199617,-0.28361682932952353
12,-0.3776410978327515,-0.3170045211397368
13,-0.4084388993211239,-0.3429398758658047
14,-0.43025572174522003,-0.37307186702202105
15,-0.4555773039658864,-0.39060678482055666
16,-0.47374206863790064,-0.40541606278255066
17,-0.4944301489769222,-0.42818917200483125
18,-0.5102197934405595,-0.43660077267679676
19,-0.5264612386852915,-0.44084136403840163
20,-0.5405139888303437,-0.4668342545114714
21,-0.5465994946509829,-0.4754660359744368
22,-0.5561049674421594,-0.49608946750903954
23,-0.5712575849300155,-0.49701346158981324
24,-0.5783744837556567,-0.5025121154456303
25,-0.5888305684571625,-0.5113483531721708
26,-0.6000544970394462,-0.5261644642928551
27,-0.6085935414478343,-0.5299842365856828
28,-0.6140122104167206,-0.5373972362485425
29,-0.6235521403692101,-0.5456842319718722
30,-0.6367155068114789,-0.5579553538355334
31,-0.6374104424006378,-0.5560964128066753
32,-0.6410841203871227,-0.5567549039577616
