epoch,train_loss,val_loss
1,2.9437261299653485,1.4805166721343994
2,1.4207678253000433,1.2119035170628474
3,1.0697798078710383,0.8095231514710647
4,0.6025874658064408,0.4079320797553429
5,0.2787937391888012,0.11810895112844613
6,0.04953579685904763,-0.05881492908184345
7,-0.12509163292971523,-0.18632233142852783
8,-0.22256487716328013,-0.2897019569690411
9,-0.2831533995541659,-0.3517445600949801
10,-0.3534813100641424,-0.40273911219376785
11,-0.41233936602419075,-0.43813475278707653
12,-0.4387050222266804,-0.4890924783853384
13,-0.48391291661696,-0.4986913295892569
14,-0.519578796083277,-0.5419091628148005
15,-0.5335768873041327,-0.56034333889301
16,-0.5519793060692874,-0.5798215957788321
17,-0.5635317618196661,-0.5913995091731732
18,-0.6122505610639398,-0.6274325389128464
19,-0.621029345555739,-0.6344541448813218
20,-0.6673988190564242,-0.6478712008549616
21,-0.6417539092627439,-0.6570991919590876
22,-0.6624585081230511,-0.6728266660983746
23,-0.6761361685666171,-0.6866847322537348
24,-0.6786039650440217,-0.6960126574222858
25,-0.6971439746293154,-0.7048241129288306
26,-0.6993240860375491,-0.7143331857827994
27,-0.7166390364820306,-0.7181538389279292
28,-0.7334358843890103,-0.7279189366560715
29,-0.7408013630997051,-0.7249501439241263
30,-0.7488023096864874,-0.7399491117550776
31,-0.7373252576047724,-0.7425491122099069
32,-0.7447792638431896,-0.7451662375376775
33,-0.7471320509910584,-0.7536439070334802
34,-0.7447895228862762,-0.755769147322728
35,-0.7460382737896659,-0.756923991900224
36,-0.761852735822851,-0.7551304881389325
37,-0.7598439931869507,-0.7693014053198007
38,-0.776929235458374,-0.7675969967475305
39,-0.7750551158731634,-0.7694649879749005
40,-0.7655079261823134,-0.7748066095205454
41,-0.7700481853701852,-0.7752633644984319
42,-0.7659415315498005,-0.7721851238837609
43,-0.7684937585483897,-0.7781479221123916
44,-0.7846504032611847,-0.7753698779986455
45,-0.7696710001338612,-0.7804391613373389
46,-0.7767958169633692,-0.7701586439059331
47,-0.766858493198048,-0.7741082860873296
48,-0.7613398877057163,-0.7726531257996192
49,-0.7683605194091797,-0.7731964954963098
50,-0.7918190717697143,-0.7719212036866409
