gene,padj
TSPAN6,0.9998951898820592
CYP51A1,0.9998951898820592
ANKIB1,0.9998951898820592
CFTR,0.9998951898820592
SEMA3F,0.9998951898820592
ENPP4,0.9998951898820592
LAS1L,0.9998951898820592
NIPAL3,0.9998951898820592
STPG1,0.9998951898820592
NFYA,0.9998951898820592
GCLC,0.9998951898820592
FUCA2,0.9998951898820592
CFH,0.9998951898820592
FGR,0.9998951898820592
C1orf112,0.9998951898820592
SCYL3,0.9998951898820592
DPM1,0.9998951898820592
TNMD,0.9998951898820592
KRIT1,0.9998951898820592
RAD52,0.9998951898820592
