gene,padj
ASB5,0.016566901833459442
AC025580.2,0.016566901833459442
ATOH1,0.016566901833459442
MIAT,0.020718627946022455
AC127070.4,0.020718627946022455
PDILT,0.02875064250626181
C2orf92,0.05451859540279717
AL353726.2,0.0709522373516194
AC093826.2,0.0709522373516194
AL160272.1,0.0709522373516194
LINC02099,0.07533032897308471
SBSN,0.07533032897308471
IGDCC3,0.09394535788162671
OR10A3,0.09876032166119121
AC120114.4,0.09876032166119121
SNORD3A,0.10393413948554821
RPLP1,0.1072315460807161
AC020917.4,0.10751333602434474
PTMS,0.10889640581013554
NCL,0.10889640581013554
