gene,padj
FAXC,0.00539658557097864
NBPF22P,0.00539658557097864
FAM180B,0.006977115943327905
ZNF114,0.008628444165318558
STOML3,0.009588025657421891
NTRK3,0.009588025657421891
IRX5,0.009588025657421891
AC116351.1,0.009588025657421891
DMRTC1B,0.009588025657421891
AL138889.1,0.013242753283149567
COL9A2,0.013242753283149567
PRKCG,0.013242753283149567
DMRTC1,0.013242753283149567
AL353726.2,0.014031241625901001
FAM74A6,0.014031241625901001
TOGARAM2,0.014031241625901001
TTC39A,0.014031241625901001
JPH3,0.014031241625901001
OR6J1,0.014031241625901001
CCDC26,0.014031241625901001
MROH7,0.014031241625901001
SLITRK2,0.014814121014561995
PRSS40A,0.016181458476970046
OR2A1-AS1,0.016622533951540976
CENPI,0.016886481665560466
SLC6A2,0.016886481665560466
AC114324.1,0.016886481665560466
SYNPO2L,0.017539660233741785
DPYSL5,0.017539660233741785
TNR,0.017539660233741785
FBXO40,0.017539660233741785
CRX,0.017539660233741785
KCNIP3,0.017539660233741785
HNRNPA1P51,0.017539660233741785
ABHD1,0.017539660233741785
OLMALINC,0.017539660233741785
TEX45,0.017539660233741785
EPHA10,0.017539660233741785
FAM90A5P,0.017539660233741785
XPOTP1,0.017820278998938118
DMP1,0.017820278998938118
CALB1,0.017820278998938118
LINC00514,0.017820278998938118
KCNH6,0.01801260044015546
EREG,0.01801260044015546
P2RX5-TAX1BP3,0.018045521443828354
LOXHD1,0.018045521443828354
TBR1,0.018377605251327082
NPHS2,0.018377605251327082
DBET,0.018377605251327082
TMEM185B,0.018377605251327082
AL021877.2,0.018377605251327082
USP17L23,0.02018875081594464
KCNJ3,0.020220637989254612
FAM90A12P,0.020220637989254612
CRB2,0.020220637989254612
ABRA,0.020220637989254612
SSX1,0.02129364622282527
KRT16,0.02143695949022278
MRGPRX3,0.02143695949022278
AL117328.2,0.02143695949022278
NECAB1,0.022054012254959288
VAX1,0.0237874108657593
SPIC,0.02424332761941429
PROCA1,0.02441665838599665
ACOXL,0.02657295685158734
LINC01583,0.02657295685158734
CSPG5,0.02657295685158734
CLVS2,0.027101469995209144
USP17L16P,0.02731927630195309
CCDC42,0.02731927630195309
TNIP3,0.02731927630195309
TH,0.02731927630195309
LINC01249,0.027800706849345134
PFN2,0.02825034652616595
MIAT,0.028346997548205573
SLC24A4,0.028346997548205573
TRPC6,0.029307562846594484
NWD1,0.029307562846594484
AMHR2,0.029783702544144964
DTD1,0.029783702544144964
MEGF11,0.029783702544144964
KLK3,0.029783702544144964
SLITRK5,0.029783702544144964
DGKK,0.030162317323427647
PLA2G2F,0.030622024944046224
SEPT14P19,0.030622024944046224
FAM174B,0.03177519788341467
OR14J1,0.03294870949825732
AC092068.2,0.03294870949825732
KEL,0.03379866942573288
PSCA,0.03379866942573288
RPL34-AS1,0.034316864477139795
IGHD,0.034316864477139795
JAKMIP2,0.034316864477139795
ZNF702P,0.034316864477139795
GRM1,0.0343887040614536
LRRC55,0.0343887040614536
TMEM179,0.0343887040614536
NPAP1,0.0343887040614536
CALY,0.0343887040614536
C2orf92,0.035178165454674844
GABBR1,0.035178165454674844
CD40LG,0.035178165454674844
AC008555.2,0.035178165454674844
TRAIP,0.035178165454674844
BCO1,0.035178165454674844
PSG3,0.035178165454674844
ENOPH1,0.035178165454674844
LINC02054,0.035178165454674844
GAS2L1,0.035178165454674844
TLX1,0.035178165454674844
ADGRB1,0.035178165454674844
KCTD16,0.035178165454674844
PCDHA7,0.035178165454674844
KLHL11,0.035178165454674844
OR7E25P,0.0354416618095872
AC021351.1,0.036040641588008
DDX43,0.036040641588008
KCNA2,0.036040641588008
DDX25,0.03650543227565041
DCSTAMP,0.03678789567818994
KIF1A,0.03678789567818994
DUX4L34,0.03685273702471296
GAGE1,0.03685273702471296
CHRNA2,0.03685273702471296
HHATL,0.03694650135444695
ZMYND10,0.038876800643459844
ARHGEF26-AS1,0.038887830628702706
RGMA,0.040110584994110556
SLC25A33,0.04064616288677423
AC012370.2,0.04064616288677423
ROR2,0.04064616288677423
RETREG1,0.04064616288677423
NPAS1,0.04064616288677423
TRIM31,0.04064616288677423
RHO,0.04064616288677423
LINC01106,0.04064616288677423
XKR9,0.04064616288677423
AC133561.1,0.04064616288677423
CADPS,0.04064616288677423
AC008079.2,0.04064616288677423
AC004889.1,0.04064616288677423
PAPOLB,0.04064616288677423
ASRGL1,0.04083902330824747
AC026523.2,0.04083902330824747
AL031594.1,0.04083902330824747
OR4K17,0.04083902330824747
STAG3L5P,0.04103445322733728
SPRY3,0.04103445322733728
PABPN1L,0.04103445322733728
KRT6A,0.04103445322733728
AL160272.1,0.04103445322733728
CLVS1,0.04103445322733728
CACNB3,0.04103445322733728
CDH10,0.04103445322733728
AL358334.2,0.04103445322733728
OPRD1,0.04104499386429288
KRTAP5-5,0.04104499386429288
ADCY1,0.04104499386429288
PLEKHG4B,0.04104499386429288
KBTBD12,0.04104499386429288
ZNF541,0.04104499386429288
KCNT1,0.04191386438934168
GPR42,0.041940816796479416
FP671120.1,0.04221655469720855
NOTO,0.04221655469720855
DUOXA1,0.042537916582875694
LGALSL,0.042800932540857324
ABCB10P1,0.042800932540857324
RGS11,0.042800932540857324
KNCN,0.04302123643116091
FRG2B,0.04302123643116091
AL161756.1,0.044256091323822945
AL158835.2,0.044304487095292444
N6AMT1,0.044304487095292444
GOLGA2P11,0.044304487095292444
LINC01551,0.044304487095292444
TFAP2C,0.044304487095292444
DUX4L18,0.044304487095292444
TYRP1,0.044304487095292444
TNFRSF8,0.044304487095292444
AP000356.2,0.044304487095292444
BTLA,0.044304487095292444
HCN2,0.044304487095292444
ASIC4,0.044304487095292444
MMEL1,0.044304487095292444
APLP1,0.04438997879529887
DLX1,0.04438997879529887
KLHL31,0.04483854200052717
BCL7A,0.04512631081440691
FIRRE,0.04531608625276706
AL591845.1,0.04531608625276706
FRRS1L,0.04555788298977436
KIF5C,0.04555788298977436
TNFRSF4,0.04555788298977436
SLC7A4,0.04555788298977436
IL9R,0.04555788298977436
NPFFR1,0.04555788298977436
TULP1,0.04555788298977436
YWHAZP4,0.04616534987279668
HIST1H3E,0.04706352202406224
SLC6A10P,0.04727753183723076
AC004706.3,0.047435005287452384
FNDC7,0.047435005287452384
CDCA7,0.04792183692872052
FP236383.1,0.04792183692872052
PCAT1,0.04792183692872052
NTRK1,0.04792183692872052
TTLL8,0.047928446392983146
C2orf73,0.047928446392983146
RHPN1,0.047928446392983146
AC068389.1,0.04806717731358473
TMEM26,0.04852670254165029
ANKRD30BL,0.04852670254165029
TDRKH-AS1,0.04852670254165029
TSPEAR-AS2,0.04852670254165029
C2orf83,0.048686362185902075
FGF1,0.048686362185902075
PRLHR,0.048686362185902075
SLC22A20P,0.048686362185902075
SUGT1P3,0.048686362185902075
BPIFC,0.048686362185902075
PLA2G4F,0.048686362185902075
BTN1A1,0.048686362185902075
AC022098.1,0.048686362185902075
SPAG11A,0.04890820079512417
POM121L7P,0.04890820079512417
REEP1,0.049324189921397546
OTOP1,0.04935269581381549
EDAR,0.04966431087218614
CCDC144NL,0.05039208949962252
FAM90A6P,0.05048060396904864
FOXD4L6,0.050762830431735025
HTRA1,0.050762830431735025
ESRRB,0.05204560452139759
ADAM7,0.052111997989076925
SNX19P3,0.052111997989076925
SPAG11B,0.05251071878516467
NKX6-1,0.05251071878516467
IGHV1-3,0.05301449936650565
CDK5R2,0.05301449936650565
ANO7L1,0.05301449936650565
ZNF286A,0.05301449936650565
ZNF815P,0.05301449936650565
ALG1L6P,0.0549149223016662
MEX3A,0.0549149223016662
ALOX12B,0.0549149223016662
KRT27,0.0549149223016662
DEFB103A,0.0549149223016662
AC020978.9,0.0549149223016662
KRT13,0.05591610244514105
SNPH,0.05614119408474294
RSPO2,0.056404983289655236
ASB5,0.056421586393286836
CHRNB3,0.056421586393286836
AC005696.4,0.056421586393286836
TACR3,0.056421586393286836
FGF17,0.056421586393286836
AC015802.6,0.056421586393286836
POM121L6P,0.056421586393286836
LINC01907,0.056421586393286836
OR4K13,0.056421586393286836
CHRM1,0.056421586393286836
DDX11L8,0.056421586393286836
DUX4L16,0.056421586393286836
FAM189A2,0.056421586393286836
GGT6,0.056421586393286836
CSDC2,0.05642813278234746
