gene,padj
TRIM60,0.0009400297637439278
SLC35E4,0.0009400297637439278
PTPN5,0.004705899537797206
GRHL3,0.004705899537797206
C3orf84,0.004705899537797206
CFAP77,0.004705899537797206
CATSPER4,0.004705899537797206
IGKV6D-21,0.004705899537797206
AC135731.1,0.004705899537797206
AC006538.1,0.004705899537797206
SUN3,0.004705899537797206
IGKV1OR2-118,0.004705899537797206
IGHV3OR16-7,0.004705899537797206
TSPAN2,0.004705899537797206
PLPP6,0.004705899537797206
CABP2,0.00475691632919585
CLCA3P,0.00640254547476091
IGKV6-21,0.006752292914811172
CCT8L1P,0.007361218268194114
ODF1,0.007361218268194114
AC239859.6,0.007374719258050015
BEST3,0.00747872448162473
OR6M1,0.00747872448162473
OR10G9,0.00747872448162473
CABS1,0.00747872448162473
RESP18,0.00747872448162473
TAS1R2,0.00747872448162473
DEFB4B,0.00747872448162473
MC4R,0.00747872448162473
GYPE,0.0075279049871323864
OR10J1,0.0075279049871323864
HK2P1,0.0075279049871323864
PCDHA3,0.0075279049871323864
MEPE,0.0075279049871323864
IGHV1OR15-3,0.008358751523407384
AC135068.9,0.008358751523407384
NT5DC4,0.008784283660507273
PDHA2,0.008784283660507273
SOX2,0.008784283660507273
OBP2B,0.008784283660507273
HTRA4,0.008784283660507273
CDKL4,0.008784283660507273
NPY5R,0.009021642770524503
BTF3P5,0.01024048387654693
KIF2B,0.01040099460242566
TGIF2LX,0.01040099460242566
IGHV3-72,0.01040099460242566
GPR142,0.01040099460242566
FAM47A,0.01040099460242566
IGHV3OR16-9,0.01040099460242566
CAMK1G,0.01040099460242566
AQP4,0.01040099460242566
RNA5SP366,0.010569730304504385
ZNF679,0.011030782698464654
OR51K1P,0.011071267467386993
SNCA,0.011440262528495435
CBLN4,0.011739181642338496
KRTAP10-8,0.011762795304547873
DEFB106B,0.012038398447043052
DCDC2C,0.012038398447043052
AC136443.1,0.01328305563208316
AC022905.1,0.01328305563208316
OR6P1,0.013304041816174571
REC114,0.013304041816174571
FAM151A,0.013304041816174571
RFPL4AP1,0.013304041816174571
GLYATL3,0.013557024294616356
KCNIP1,0.013712159885599384
CCER2,0.013712159885599384
FNDC8,0.013712159885599384
NTNG1,0.014269203651348922
AC008985.1,0.015270196328744028
PRORY,0.015748964850093753
RLBP1,0.01599268299964843
CCT8L2,0.01599268299964843
FAM92B,0.016584723441008198
AC140125.2,0.017302854713115896
