feature,padj,fold,model
CFH,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=5
AP2B1,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=5
REX1BD,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=5
MYCBP2,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=5
ABCB4,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=5
PON1,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=5
ACSM3,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=5
MCUB,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=5
CALCR,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=5
SLC25A13,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=5
PDK4,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=5
ARF5,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=5
SLC7A2,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=5
ALS2,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=5
M6PR,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=5
AOC1,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=5
RAD52,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=5
CYP51A1,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=5
RALA,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=5
USH1C,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=5
CFH,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=5
AP2B1,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=5
REX1BD,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=5
MYCBP2,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=5
ABCB4,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=5
PON1,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=5
ACSM3,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=5
MCUB,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=5
CALCR,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=5
SLC25A13,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=5
PDK4,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=5
ARF5,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=5
SLC7A2,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=5
ALS2,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=5
M6PR,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=5
AOC1,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=5
RAD52,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=5
CYP51A1,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=5
RALA,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=5
USH1C,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=5
CFH,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=5
AP2B1,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=5
REX1BD,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=5
MYCBP2,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=5
ABCB4,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=5
PON1,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=5
ACSM3,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=5
MCUB,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=5
CALCR,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=5
SLC25A13,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=5
PDK4,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=5
ARF5,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=5
SLC7A2,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=5
ALS2,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=5
M6PR,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=5
AOC1,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=5
RAD52,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=5
CYP51A1,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=5
RALA,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=5
USH1C,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=5
CFH,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=10
AP2B1,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=10
REX1BD,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=10
MYCBP2,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=10
ABCB4,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=10
PON1,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=10
ACSM3,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=10
MCUB,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=10
CALCR,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=10
SLC25A13,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=10
PDK4,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=10
ARF5,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=10
SLC7A2,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=10
ALS2,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=10
M6PR,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=10
AOC1,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=10
RAD52,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=10
CYP51A1,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=10
RALA,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=10
USH1C,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=10
CFH,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=10
AP2B1,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=10
REX1BD,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=10
MYCBP2,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=10
ABCB4,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=10
PON1,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=10
ACSM3,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=10
MCUB,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=10
CALCR,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=10
SLC25A13,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=10
PDK4,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=10
ARF5,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=10
SLC7A2,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=10
ALS2,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=10
M6PR,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=10
AOC1,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=10
RAD52,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=10
CYP51A1,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=10
RALA,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=10
USH1C,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=10
CFH,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=10
AP2B1,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=10
REX1BD,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=10
MYCBP2,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=10
ABCB4,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=10
PON1,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=10
ACSM3,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=10
MCUB,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=10
CALCR,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=10
SLC25A13,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=10
PDK4,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=10
ARF5,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=10
SLC7A2,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=10
ALS2,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=10
M6PR,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=10
AOC1,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=10
RAD52,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=10
CYP51A1,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=10
RALA,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=10
USH1C,0.9999563912346513,3,RF_max_depth=2_min_samples_leaf=10
CFH,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=15
AP2B1,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=15
REX1BD,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=15
MYCBP2,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=15
ABCB4,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=15
PON1,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=15
ACSM3,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=15
MCUB,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=15
CALCR,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=15
SLC25A13,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=15
PDK4,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=15
ARF5,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=15
SLC7A2,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=15
ALS2,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=15
M6PR,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=15
AOC1,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=15
RAD52,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=15
CYP51A1,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=15
RALA,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=15
USH1C,0.9922920979798066,1,RF_max_depth=2_min_samples_leaf=15
CFH,0.9993686319949584,2,RF_max_depth=2_min_samples_leaf=15
