feature,coefficient,fold,model
REX1BD,1.492868050456882,1,LR_C=1
SLC25A13,-0.9573126837875868,1,LR_C=1
SLC7A2,-0.920242316082059,1,LR_C=1
M6PR,0.6718052817912142,1,LR_C=1
USH1C,0.4855428187947724,1,LR_C=1
CYP51A1,0.42285865268081685,1,LR_C=1
RAD52,-0.3731708590605595,1,LR_C=1
CFH,-0.3557803219959376,1,LR_C=1
ACSM3,0.25013010473607405,1,LR_C=1
ALS2,-0.10736349941724545,1,LR_C=1
RALA,-0.09852322882180763,1,LR_C=1
ALS2,0.8560855263530142,2,LR_C=1
MYCBP2,0.8038077163384152,2,LR_C=1
RAD52,-0.46255450448040375,2,LR_C=1
SLC25A13,-0.4021400902393425,2,LR_C=1
PON1,-0.2896687869918253,2,LR_C=1
AP2B1,0.289631937063242,2,LR_C=1
CALCR,0.20763171725909596,2,LR_C=1
CFH,-0.20261245680358433,2,LR_C=1
ARF5,-0.06482062623400772,2,LR_C=1
RALA,-0.01741415576799977,2,LR_C=1
MYCBP2,0.8410182282990479,3,LR_C=1
SLC25A13,-0.5696717271666886,3,LR_C=1
MCUB,-0.5531013200432915,3,LR_C=1
ALS2,0.4301085255248836,3,LR_C=1
CFH,0.1500230256318721,3,LR_C=1
RALA,-0.06900927637568692,3,LR_C=1
PON1,0.038457550246575885,3,LR_C=1
