epoch,train_loss,val_loss
1,1.5606546087015976,1.1250645094904406
2,0.8007898072493241,0.5480849973086653
3,0.39930545020213326,0.2940199514915203
4,0.1942022114122335,0.15017254434782884
5,0.05448477425699776,0.04268417605038347
6,-0.056465499045845184,-0.0473069273192307
7,-0.13232912143803963,-0.11847642742354295
8,-0.20146304442219654,-0.16727158077831927
9,-0.2534952907152073,-0.20818281214812706
10,-0.29836896235858607,-0.24962437235075852
11,-0.33273492847353264,-0.2677008953587762
12,-0.3602644638623327,-0.3062454552486025
13,-0.3910513218555216,-0.3238832346324263
14,-0.41124862647642557,-0.3395676637517995
15,-0.4358431272517701,-0.36315770025911004
16,-0.4530306262080021,-0.3766659896949242
17,-0.4724980079999534,-0.40046278937109586
18,-0.48590481826054155,-0.4103216179485979
19,-0.5026921333713649,-0.41985988781369965
20,-0.5165209468974862,-0.4356984179595421
21,-0.5223499869329772,-0.44074958891704163
22,-0.5302050363632941,-0.4554870013532967
23,-0.5451870254840353,-0.46692345265684454
24,-0.5524878256057265,-0.4645889841277024
25,-0.5591860548142464,-0.46951442299218016
26,-0.5715516592317279,-0.48533564723771194
27,-0.5782887611978798,-0.4946895693910533
28,-0.5832544680106841,-0.49609590028894357
29,-0.5926270835135939,-0.5026496492583176
30,-0.6051535058406091,-0.5091666669681154
31,-0.6045008564050296,-0.5158916580265966
32,-0.6074857510363085,-0.5164561403208765
33,-0.6113575483155873,-0.5145758924813106
34,-0.6249344658833312,-0.5262734931090782
35,-0.622914105379087,-0.5249987474803267
36,-0.6305234677597491,-0.5342633481683402
37,-0.6328721041412031,-0.5313838091389886
38,-0.633244454219777,-0.5319342284367002
