fold,ensemble,radiomics,rna_seq
1,0.8,0.5875,0.775
2,0.962962962962963,0.8395061728395062,0.9876543209876543
3,0.9135802469135803,0.9012345679012346,0.8641975308641975
mean,0.8921810699588478,0.7760802469135802,0.8756172839506172
