epoch,train_loss,val_loss
1,1.5287892501658191,1.046288485362612
2,0.7763439773963893,0.5562272795315446
3,0.4145510410932901,0.312486587721726
4,0.20182935598259147,0.14507159364634548
5,0.051443082762570244,0.04460517784644818
6,-0.06616507587344965,-0.05873247919411495
7,-0.14801802521660215,-0.13767663857032514
8,-0.22259322692355435,-0.18396974144310788
9,-0.27427715969525174,-0.22995575214254446
10,-0.3197227856988365,-0.2778045485759604
11,-0.35522527848520585,-0.29817452924004917
12,-0.3809016388132825,-0.3300462398035773
13,-0.4127350147418712,-0.36026023379687605
14,-0.4318988216088115,-0.3747697542453634
15,-0.45728428567975715,-0.3905740520049786
16,-0.4742636126673533,-0.40246793853825535
17,-0.49223250631363163,-0.42712821384956096
18,-0.5051828120619104,-0.4312465400531374
19,-0.5214544523238404,-0.4455658579694814
20,-0.5354628258952714,-0.4556272009323383
21,-0.5398902373471385,-0.47716351254232997
22,-0.5501840054164834,-0.4742808140557388
23,-0.5635790465980448,-0.4871368198559202
24,-0.5711301210380736,-0.49087050125516696
25,-0.5791938333284288,-0.4955083000248876
26,-0.5900560177507854,-0.5122033328845583
27,-0.5975567633472096,-0.5211297466837127
28,-0.6023847007073931,-0.5204296523127062
29,-0.6127406362839009,-0.5242665973202936
30,-0.6241142477399559,-0.5398529817318094
31,-0.6251408074125533,-0.5395296257117699
32,-0.6286618292514813,-0.542271207529923
33,-0.6302114050326076,-0.5479346571297481
34,-0.6466307640533476,-0.549773776942286
35,-0.6442018414514222,-0.550193938304638
36,-0.6518322252732818,-0.5579088490584801
37,-0.6550463796485954,-0.5592551901422698
38,-0.6536283702253379,-0.5540561528041446
39,-0.6590368494551669,-0.5687603971053814
40,-0.6596151795896333,-0.5680466372391273
41,-0.6649876284526057,-0.5706127080424078
42,-0.6637656601251728,-0.5739708448278493
43,-0.6643191413029731,-0.5657166674219328
44,-0.6631449494402163,-0.5737643225439664
