feature,coefficient,fold,model
SGSM1,1.4734917065454414,1,LR_C=1
AL449283.1,0.9764553467515598,1,LR_C=1
AC093826.2,-0.8058025332437114,1,LR_C=1
AC063947.2,0.7390799208782386,1,LR_C=1
AC025580.2,-0.6702995200128697,1,LR_C=1
ZMYND12,0.41672324688664103,1,LR_C=1
AC138647.1,-0.38461649307877904,1,LR_C=1
LACC1,0.29139659465504936,1,LR_C=1
AC004241.5,-0.20067009523244633,1,LR_C=1
SGSM1,0.6573000773319445,2,LR_C=1
LACC1,0.6213210541776881,2,LR_C=1
AL445235.1,-0.6198890530585279,2,LR_C=1
AC130366.1,0.58614347195183,2,LR_C=1
H19,-0.5215622984052707,2,LR_C=1
AC063947.2,0.45853886052562914,2,LR_C=1
AL449283.1,0.44297132377044884,2,LR_C=1
AC025580.2,-0.35817584922170864,2,LR_C=1
AC093525.8,-0.2876252647189209,2,LR_C=1
AC093826.2,-0.2041734201911913,2,LR_C=1
AC004241.5,-0.19205089860503768,2,LR_C=1
RBMXL3,-0.1692189712301809,2,LR_C=1
LACC1,1.3080369321167635,3,LR_C=1
AL449283.1,0.9207916062620483,3,LR_C=1
AC025580.2,-0.8737380198227963,3,LR_C=1
AC093826.2,-0.6640938518275864,3,LR_C=1
H19,-0.6401199590608617,3,LR_C=1
CAMK2N2,0.43373628696773575,3,LR_C=1
AC093525.8,-0.3938471294629851,3,LR_C=1
SGSM1,0.2831613093120355,3,LR_C=1
AL445235.1,-0.2231416406064271,3,LR_C=1
AC130366.1,0.09855739737846257,3,LR_C=1
ZMYND12,0.026462482136815155,3,LR_C=1
