epoch,train_loss,val_loss
1,1.5307418325895905,1.0670480152656292
2,0.7966308352950897,0.5868674985293685
3,0.42959321286821145,0.32412047961662555
4,0.20753294861261745,0.144336748945302
5,0.05500449398146247,0.03388824421783974
6,-0.0594806564934609,-0.05124527709237461
7,-0.1390208618432146,-0.11393308598419716
8,-0.20759020596971525,-0.16369021555473065
9,-0.260577022663093,-0.21879164144910615
10,-0.30387202138724967,-0.25191168785095214
11,-0.3384215117599558,-0.28559611542471525
12,-0.3655252322989492,-0.3068786563544438
13,-0.39548059432737287,-0.3523120366293809
14,-0.4156556102903574,-0.3463807488309926
15,-0.4429034856241053,-0.37598226892537084
16,-0.45917273515380475,-0.3915298285155461
17,-0.47667738003298615,-0.40907579865948906
18,-0.4902317131627723,-0.42138688769833793
19,-0.5059205432824458,-0.4281872297155446
20,-0.5204249575116118,-0.4444594860076904
21,-0.5244217333705744,-0.45493597532140795
22,-0.5374664549362458,-0.4658496457954933
23,-0.5483831516974899,-0.48005708332719477
24,-0.5575625563180575,-0.4776930706254367
25,-0.5653693059347742,-0.48501066832706846
26,-0.5753213135602837,-0.49818943451190817
27,-0.5835021869286597,-0.5040011356616843
28,-0.589108385614902,-0.5115373677220838
29,-0.5984351845106222,-0.5071331657212356
30,-0.6107625404627459,-0.5205178737640381
31,-0.6113887898932954,-0.5271073616784194
32,-0.6153745640258086,-0.5337682802101661
33,-0.6167526911205959,-0.5372820611657767
34,-0.6322062389550305,-0.5436848348584669
35,-0.631445050697356,-0.5396156163051211
36,-0.639958896212131,-0.5461139403540513
37,-0.6416917762357153,-0.5475131219831006
38,-0.6414296859145714,-0.545394939389722
39,-0.6455590729522999,-0.5508155781647255
40,-0.6462892468806969,-0.5514736311189059
41,-0.651188634645005,-0.5563751919516202
42,-0.6511083065364768,-0.5658769138928117
43,-0.6525245946581646,-0.557890183761202
44,-0.6500640025336621,-0.5607332274831575
