epoch,train_loss,val_loss
1,7.330251216888428,5.85349440574646
2,4.823252328236898,4.799073696136475
3,4.361099592844645,4.525649785995483
4,4.248205884297689,4.405275583267212
5,4.207116921742757,4.358508348464966
6,4.1837436358133955,4.3251190185546875
7,4.1733755747477215,4.300601959228516
8,4.158833853403727,4.27783727645874
9,4.151230080922445,4.272030591964722
10,4.14396104812622,4.263368368148804
11,4.131474717458089,4.265227556228638
12,4.123880418141683,4.263201475143433
13,4.098466491699218,4.265561103820801
14,4.068197917938233,4.254792213439941
15,4.033332554499308,4.285353183746338
16,4.000860913594564,4.312423229217529
17,3.9509122371673584,4.402177333831787
18,3.8653609275817873,4.3953001499176025
19,3.7638471285502115,4.480074167251587
20,3.6260054111480713,4.996617078781128
21,3.591694164276123,4.890892744064331
22,3.436123498280843,5.016428709030151
23,3.266984478632609,5.232527494430542
24,3.0759199301401776,5.3300862312316895
25,2.914795255661011,5.78159499168396
26,2.7197097460428874,5.975473880767822
27,2.5721280574798584,5.995349645614624
28,2.369563674926758,6.1069746017456055
29,2.1836424271265664,6.185020685195923
30,2.086122727394104,7.0518553256988525
31,1.9099506537119548,6.777809143066406
32,1.8055341084798178,6.755006313323975
33,1.754160229365031,6.917008876800537
34,1.6685730775197347,6.806000232696533
35,1.7076769669850667,6.7994771003723145
36,1.5243644078572591,7.066733121871948
37,1.5807369629542032,7.128984689712524
38,1.5078920284907023,6.855031967163086
39,1.5890369017918904,7.115938901901245
40,1.572764547665914,7.01299786567688
41,1.457962163289388,6.9399800300598145
42,1.5317814826965332,6.9672276973724365
43,1.4680645942687989,6.89879298210144
44,1.5071290810902913,7.05284309387207
45,1.4921136220296225,6.964474201202393
46,1.4806848684946696,6.938838720321655
47,1.438904349009196,7.004393815994263
48,1.5046111583709716,6.996333837509155
49,1.4870104948679606,7.089888572692871
50,1.4809717019399007,6.897552013397217
