epoch,train_loss,val_loss
1,5.2458447774251304,4.395485758781433
2,2.440767590204875,3.239858388900757
3,1.881491756439209,2.876188278198242
4,1.710335079828898,2.70615816116333
5,1.644070291519165,2.607598066329956
6,1.607900826136271,2.5383270978927612
7,1.584541098276774,2.476313591003418
8,1.5686299641927084,2.443408489227295
9,1.5577229181925456,2.398820400238037
10,1.548364814122518,2.3655420541763306
11,1.5413136641184488,2.342864751815796
12,1.5354005018870036,2.324582576751709
13,1.5303052425384522,2.2962230443954468
14,1.5259044329325357,2.2758989334106445
15,1.523177194595337,2.266852378845215
16,1.519702402750651,2.2439141273498535
17,1.5169277985890706,2.2256250381469727
18,1.515981388092041,2.2180317640304565
19,1.512427552541097,2.2054518461227417
20,1.510101556777954,2.1938579082489014
21,1.5087887287139892,2.1891415119171143
22,1.506455373764038,2.175960659980774
23,1.5055364449818929,2.170806884765625
24,1.5031213919321695,2.1654351949691772
25,1.501999855041504,2.159393072128296
26,1.501388168334961,2.155436158180237
27,1.4988492329915364,2.1446887254714966
28,1.497290802001953,2.141354560852051
29,1.496597703297933,2.149416446685791
30,1.4951440175374349,2.129909038543701
31,1.492753012975057,2.1331944465637207
32,1.4910775184631349,2.1370068788528442
33,1.490342346827189,2.1253124475479126
34,1.4876978874206543,2.130015730857849
35,1.4849952379862468,2.1224807500839233
36,1.4828878084818522,2.125961422920227
37,1.4822715441385905,2.1255760192871094
38,1.4803214232126871,2.124983072280884
39,1.477243423461914,2.1265066862106323
40,1.4760623137156168,2.127580165863037
41,1.472987667719523,2.131677508354187
42,1.4725135485331218,2.1265769004821777
43,1.4719027996063232,2.124131679534912
44,1.4682465076446534,2.1266642808914185
45,1.4685399055480957,2.1264750957489014
46,1.4679032802581786,2.127044677734375
47,1.465640910466512,2.1276018619537354
48,1.4661036809285481,2.1284079551696777
49,1.466551129023234,2.1268492937088013
50,1.4669990221659341,2.126124858856201
